sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_bid,screen_ask,screen_net_expense_ratio,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_currency,screen_short_name,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_regular_market_change_percent,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_dividend_date,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_symbol,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date
Energy,energy,11,XOP,State Street SPDR S&P Oil & Gas Exploration & Production ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.83,11.928904,3.50995,66.8735,189.2,189.8,0.35,PCX,191.24,122.11,1.83,USD,State Street SPDR S&P Oil & Gas,False,False,False,True,1150983000000,2,3.7093048,1.99543,1788178966.0,189.5993,0.470001,3.7093048,1.99543,189.5993,1787947200,185.94,187.18,184.43 - 187.18,184.43,1563474,185.47,100.0,400.0,us_market,finmb_27776185,NYSEArca,State Street SPDR S&P Oil & Gas Exploration & Production ETF,185.46,3358501,2913280,[],0.253411,63.83,0.5227254,122.11 - 191.24,-5.300003,-0.027713882,38.17344,,1.39,12.498515,0.0074944734,41.7883,0.04348,0.04348,3797770500.0,PRE,14.876967,169.8366,16.103409,0.09481707,156.973,28.966995,0.18453488,15,0,America/New_York,EDT,-14400000,XOP,USD,70500000.0,96.741,1.9220394,,,-0.01,-18594.0,,,,,,,
Energy,energy,12,MLPX,Global X MLP & Energy Infrastructure ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.04,21.598272,15.47557,39.47502,0.0,119.9,0.45,PCX,78.36,57.66,4.04,USD,Global X MLP & Energy Infrastru,False,False,False,True,1375882200000,2,1.4700012,1.9579132,1788175610.0,76.55,-0.0199966,1.4700012,1.9579132,76.55,1787947200,75.23,75.66,74.8777 - 75.66,74.8777,262585,75.25,200.0,1300.0,us_market,finmb_243965352,NYSEArca,Global X MLP & Energy Infrastructure ETF,75.35,425368,383330,[],-0.0265736,17.570004,0.30471736,57.66 - 78.36,-3.1299973,-0.039943814,23.591255,,,21.641424,,27.07745,0.28895,0.28895,3639875840.0,PRE,3.476204,74.7506,0.47940063,0.0064133345,69.8183,5.411705,0.07751127,15,0,America/New_York,EDT,-14400000,MLPX,,,,,,,,,,,,,,,
Energy,energy,13,VNLA,Janus Henderson Short Duration Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,6.01708,-0.18237,48.76,53.67,0.23,PCX,49.437,48.8,5.06,USD,Janus Henderson Short Duration ,False,False,False,True,1479825000000,2,,,,,0.0,0.0,0.0,,1787947200,48.97,48.999,48.96 - 48.999,48.96,338398,48.97,7800.0,4000.0,us_market,finmb_378490776,NYSEArca,Janus Henderson Short Duration Income ETF,48.99,382339,398280,[],0.0,0.17000198,0.0034836472,48.8 - 49.437,-0.46699905,-0.009446347,-0.24445057,,0.0,,0.0,2.08298,1.0375,1.0375,3348164350.0,PRE,,48.93094,0.0390625,0.00079831906,49.057884,-0.087882996,-0.0017914143,15,0,America/New_York,EDT,-14400000,VNLA,,,,,,,,,,,,,,,
Energy,energy,14,SMTH,ALPS Smith Core Plus Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,24.12,26.52,0.59,PCX,26.47,25.25,4.45,USD,ALPS Smith Core Plus Bond ETF,False,False,False,True,1701873000000,2,,,,,-0.0650005,-0.0650005,-0.256059,,1787947199,25.32,25.445,25.315 - 25.445,25.315,365467,25.385,700.0,1700.0,us_market,finmb_1854316397,NYSEArca,ALPS Smith Core Plus Bond ETF,25.35,396528,411460,[],-0.256059,0.069999695,0.002772265,25.25 - 26.47,-1.1499996,-0.043445397,-2.1260142,,0.0,,0.0,-0.48965,-0.65799,-0.65799,2963086850.0,PRE,,25.48984,-0.16983986,-0.0066630417,25.84875,-0.52874947,-0.020455515,15,0,America/New_York,EDT,-14400000,SMTH,,,,,,,,,,,,,,,
Energy,energy,15,IXC,iShares Global Energy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,2.82,17.265193,4.06243,40.94268,56.11,0.0,0.37,PCX,59.18,40.05,2.82,USD,iShares Global Energy ETF,False,False,False,True,1006785000000,2,1.7350006,3.039861,1788177359.0,58.81,0.119999,1.7350006,3.039861,58.81,1787947200,57.1,57.18,56.75 - 57.18,56.75,389165,56.98,300.0,600.0,us_market,finmb_8798081,NYSEArca,iShares Global Energy ETF,57.02,925073,373480,[],0.210598,17.05,0.42571783,40.05 - 59.18,-2.0800018,-0.03514704,36.049557,,1.024,17.708185,0.01797122,34.56013,-0.53817,-0.53817,2864302080.0,PRE,3.2244976,53.7718,3.3281975,0.06189485,50.84385,6.2561493,0.12304634,15,0,America/New_York,EDT,-14400000,IXC,USD,25950000.0,26.816,2.1293256,,,,,,,,,,,
Energy,energy,16,UITB,VictoryShares Core Intermediate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,6.45493,-0.92748,37.0,55.53,0.25,NGM,48.055,45.975,4.25,USD,VictoryShares Core Intermediate,False,False,False,True,1509111000000,2,,,,,-0.13999939,-0.13999939,-0.30257055,,1787947200,46.13,46.29,46.115 - 46.29,46.115,103022,46.27,2.0,2.0,us_market,finmb_540665697,NasdaqGM,VictoryShares Core Intermediate Bond ETF,46.24,134919,141060,[],-0.30257055,0.1550026,0.003371454,45.975 - 48.055,-1.9249992,-0.04005825,-2.0927072,,0.0,,0.0,-0.52649,-0.63107,-0.63107,2636701700.0,PRE,,46.37436,-0.24435806,-0.0052692494,47.00371,-0.87371063,-0.01858812,15,0,America/New_York,EDT,-14400000,UITB,,,,,,,,,2022-11-01,,,,,,
Energy,energy,17,MLPA,Global X MLP ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.96,15.686275,16.18076,39.96146,54.5,0.0,0.77,PCX,57.02,46.39,6.96,USD,Global X MLP ETF,False,False,False,True,1334842200000,2,0.20999908,0.36952153,1788174013.0,57.04,-0.129997,0.29500198,0.5198731,57.04,1787947200,56.83,56.9951,56.65 - 56.9951,56.65,98019,56.96,900.0,200.0,us_market,finmb_204565926,NYSEArca,Global X MLP ETF,56.88,187665,145690,[],-0.228226,10.440002,0.22504856,46.39 - 57.02,-0.18999863,-0.0033321402,13.864958,,0.0,15.705621,0.0,21.52237,3.86398,3.86398,2293592060.0,PRE,3.61845,55.2296,1.6004028,0.028977267,52.86445,3.9655533,0.075013615,15,0,America/New_York,EDT,-14400000,MLPA,,,,,,,,,,,,,,,
Energy,energy,18,HTRB,Hartford Total Return Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,7.03085,-0.75466,30.33,36.33,0.29,PCX,34.82,33.045,4.75,USD,Hartford Total Return Bond ETF,False,False,False,True,1506605400000,2,1.800003,5.42333,1788176700.0,34.99,-0.107601,-0.107601,-0.32315,34.99,1787947200,33.19,33.3099,33.1709 - 33.3099,33.1709,185602,33.2976,2000.0,1200.0,us_market,finmb_426931743,NYSEArca,Hartford Total Return Bond ETF,33.29,220019,287110,[],-0.32315,0.14500046,0.00438797,33.045 - 34.82,-1.6300011,-0.046812207,-2.152121,,0.0,,0.0,-0.59724,-0.7033,-0.7033,2208643070.0,PRE,,33.45966,-0.26966095,-0.008059286,33.93155,-0.74155045,-0.021854306,15,0,America/New_York,EDT,-14400000,HTRB,,14450000.0,,,,,,,,,,,,,
Energy,energy,19,FENY,Fidelity MSCI Energy Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.35,19.849146,0.04214,55.47623,34.66,35.68,0.084,PCX,35.83,23.52,2.35,USD,Fidelity MSCI Energy Index ETF,False,False,False,True,1382621400000,2,0.52000046,1.4972659,1788178048.0,35.25,0.139999,0.5149994,1.4826525,35.25,1787947200,34.73,34.79,34.47 - 34.79,34.47,658732,34.59,7300.0,5700.0,us_market,finmb_243638582,NYSEArca,Fidelity MSCI Energy Index ETF,34.62,1433407,869990,[],0.404739,11.209999,0.4766156,23.52 - 35.83,-1.1000023,-0.030700592,38.864456,,0.0,20.862173,0.0,35.1181,-0.11826,-0.11826,2009049730.0,PRE,1.6647354,32.282,2.447998,0.07583167,30.1867,4.5432987,0.15050663,15,0,America/New_York,EDT,-14400000,FENY,,,,,,,,,,,,,,,
Energy,energy,20,OIH,VanEck Oil Services ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.26,20.07629,3.23133,21.26626,422.0,0.0,0.35,PCX,459.28,242.24,1.26,USD,VanEck Oil Services ETF,False,False,False,True,983197800000,2,6.470001,1.5458871,1788178496.0,425.0,3.35999,6.470001,1.5458871,425.0,1787947200,418.31,418.93,411.675 - 418.93,411.675,270508,414.95,80.0,200.0,us_market,finmb_3589047,NYSEArca,VanEck Oil Services ETF,414.46,311688,250890,[],0.809733,176.06999,0.7268411,242.24 - 459.28,-40.97,-0.08920485,64.21702,,,21.801954,,35.41447,-14.07156,-14.07156,1906939390.0,PRE,19.186811,389.6938,28.61621,0.07343256,374.49136,43.818634,0.117008395,15,0,America/New_York,EDT,-14400000,OIH,,,,,,,,,,,,,,,
