sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_bid,screen_ask,screen_net_expense_ratio,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_currency,screen_short_name,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_regular_market_change_percent,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_dividend_date,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_symbol,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date
Energy,energy,21,URNM,Sprott Uranium Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.68,7.128599942971201,,,57.03,58.61,0.75,PCX,84.95,46.82,3.58,USD,Sprott Uranium Miners ETF,False,False,False,True,1575469800000,2,1.069397,1.8853966,1788178582.0,57.7894,-4.39,1.069397,1.8853966,57.7894,1787947200,56.66,60.84,56.41 - 60.84,56.41,1097283,61.05,700.0,300.0,us_market,finmb_632575309,NYSEArca,Sprott Uranium Miners ETF,60.89,543085,860930,[],-7.19083,9.84,0.2101666,46.82 - 84.95,-28.289997,-0.3330194,10.233461,,0.0,11.619864,0.0,-11.50955,-28.0475,-28.0475,1767778690.0,PRE,4.8761325,53.1606,3.499401,0.06582697,60.84165,-4.1816483,-0.06873003,15,0,America/New_York,EDT,-14400000,URNM,,,,,,,,,,,,,,,
Energy,energy,22,IYE,iShares U.S. Energy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.12,20.542317,-2.2886,53.36815,64.58,0.0,0.38,PCX,68.44,45.12,2.12,USD,iShares U.S. Energy ETF,False,False,False,True,961162200000,2,0.98999786,1.4943364,1788177356.0,67.24,0.32,0.32,0.485363,67.24,1787947200,66.25,66.325,65.73 - 66.325,65.73,468095,65.93,300.0,700.0,us_market,finmb_8796332,NYSEArca,iShares U.S. Energy ETF,66.06,1057849,511470,[],0.485363,21.130001,0.46830678,45.12 - 68.44,-2.1900024,-0.031998865,37.676643,,0.83,21.54862,0.012589109,34.23412,0.46128,0.46128,1755741700.0,PRE,3.0744429,61.7464,4.503601,0.072937064,57.6128,8.637199,0.14991806,15,0,America/New_York,EDT,-14400000,IYE,USD,20850000.0,31.466,2.1054473,,,,,,,,,,,
Energy,energy,23,PHYL,PGIM Active High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.27,1.7114495978093445,12.44921,6.27796,31.57,36.35,0.39,PCX,35.83,34.44,7.65,USD,PGIM Active High Yield Bond ETF,False,False,False,True,1538055000000,2,0.094558716,0.27356434,1788177373.0,34.66,-0.105,-0.105,-0.300988,34.66,1787947199,34.78,34.9,34.78 - 34.9,34.78,91640,34.885,400.0,400.0,us_market,finmb_574976137,NYSEArca,PGIM Active High Yield Bond ETF,34.9,172292,118470,[],-0.300988,0.34000015,0.0098722465,34.44 - 35.83,-1.050003,-0.029305136,-1.806891,,0.0,2.492423,0.0,1.33761,0.16928,0.16928,1380497790.0,PRE,13.954291,34.854,-0.07400131,-0.0021231798,35.17785,-0.39785004,-0.011309675,15,0,America/New_York,EDT,-14400000,PHYL,,,,,,,,,,,,,,,
Energy,energy,24,XAGG,Eaton Vance Income Opportunities ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,6.91,12.174336,8.48277,0.01371,0.0,0.0,0.5,PCX,51.475,49.405,6.91,USD,Eaton Vance Income Opportunitie,False,False,False,True,1762785000000,2,,,,,-0.0699997,-0.0699997,-0.139999,,1787947190,49.93,50.05,49.8899 - 50.05,49.8899,158415,50.0,100.0,200.0,us_market,finmb_1888407053,NYSEArca,Eaton Vance Income Opportunities ETF,50.05,246036,235160,[],-0.139999,0.5250015,0.010626486,49.405 - 51.475,-1.5449982,-0.030014535,-0.3790915,,0.0,12.307443,0.0,1.96646,0.48849,0.48849,1324141820.0,PRE,4.056895,49.89404,0.03596115,0.0007207504,50.30396,-0.3739586,-0.0074339793,15,0,America/New_York,EDT,-14400000,XAGG,,,,,,,,,,,,,,,
Energy,energy,25,SYSB,iShares Systematic Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,8.29195,-0.9299,84.32,90.32,0.25,BTS,91.2,86.82,4.62,USD,iShares Systematic Bond ETF,False,False,False,True,1424961000000,2,,,,,-0.265297,-0.265297,-0.302901,,1787947191,87.32,87.715,87.3 - 87.715,87.3,36654,87.5853,800.0,100.0,us_market,finmb_279615910,Cboe US,iShares Systematic Bond ETF,87.61,68941,57750,[],-0.302901,0.5,0.0057590418,86.82 - 91.2,-3.8799973,-0.042543832,-1.5102804,,0.0,,0.0,-0.65334,-0.79295,-0.79295,1165963900.0,PRE,,87.71588,-0.39588165,-0.0045132264,89.00069,-1.680687,-0.018883977,15,0,America/New_York,EDT,-14400000,SYSB,,,,,,,,,,,,,,,
Energy,energy,26,HYGV,Northern Trust High Yield Value-Scored Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,13.00027,6.15168,36.31,40.5,0.37,PCX,41.316,39.55,7.4,USD,Northern Trust High Yield Value,False,False,False,True,1531920600000,2,,,,,-0.0600014,-0.0600014,-0.149109,,1787947200,40.18,40.3,40.17 - 40.3,40.17,73035,40.24,300.0,300.0,us_market,finmb_557846515,NYSEArca,Northern Trust High Yield Value-Scored Bond ETF,40.29,95453,78030,[],-0.149109,0.63000107,0.015929231,39.55 - 41.316,-1.1360016,-0.027495438,-1.2291074,,0.0,,0.0,1.82013,0.64422,0.64422,1097197950.0,PRE,,40.11452,0.06547928,0.0016323086,40.414505,-0.2345047,-0.0058024884,15,0,America/New_York,EDT,-14400000,HYGV,,,,,,,,,,,,,,,
Energy,energy,27,EIPI,FT Energy Income Partners Enhanced Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.87,17.627358,,,22.53,0.0,1.11,PCX,23.03,19.372,3.87,USD,FT Energy Income Partners Enhan,False,False,False,True,1715002200000,2,,,,,-0.0300007,-0.0300007,-0.132278,,1787947200,22.65,22.78,22.59 - 22.78,22.59,86072,22.68,1100.0,1200.0,us_market,finmb_127660568,NYSEArca,FT Energy Income Partners Enhanced Income ETF,22.78,95119,77490,[],-0.132278,3.2779999,0.1692133,19.372 - 23.03,-0.38000107,-0.016500263,14.105797,,0.0,17.952322,0.0,17.56578,-0.31183,-0.31183,1092459010.0,PRE,1.2616752,22.3132,0.33679962,0.015094187,21.640625,1.0093746,0.046642583,15,0,America/New_York,EDT,-14400000,EIPI,,,,,,,,,,,,,,,
Energy,energy,28,TPYP,Tortoise North American Pipeline Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.2,22.341376,10.8015,34.74743,38.81,47.05,0.4,NYQ,44.65,33.94,3.2,USD,Tortoise North American Pipelin,False,False,False,True,1435671000000,2,0.0,0.0,1788177565.0,42.9969,-0.1731,-0.1731,-0.400972,42.9969,1787946950,42.9969,43.27,42.935 - 43.27,42.935,39000,43.17,100.0,500.0,us_market,finmb_297929091,NYSE,Tortoise North American Pipeline Fund,43.19,53787,37270,[],-0.400972,9.0569,0.26685032,33.94 - 44.65,-1.6531029,-0.037023578,20.845985,1490918400.0,0.0,22.36577,0.0,23.52913,-0.40816,-0.40816,877418750.0,PRE,1.9224421,42.81264,0.1842575,0.0043038107,40.378216,2.6186829,0.064853854,15,0,America/New_York,EDT,-14400000,TPYP,,0.0,,,,,,,,,,,,,
Energy,energy,29,MLPI,Neos Mlp & Energy Infrastructure High Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,54.2,55.5,0.68,BTS,58.47,49.15,,USD,NEOS MLP & Energy Infrastructur,False,False,False,True,1766068200000,2,0.33000183,0.60751444,1788178927.0,54.65,-0.18,0.33000183,0.60751444,54.65,1787947200,54.28,54.56,54.18 - 54.56,54.18,289427,54.46,100.0,900.0,us_market,finmb_1965564623,Cboe US,Neos Mlp & Energy Infrastructure High Income ETF,54.55,360190,373760,[],-0.330518,5.1299973,0.104374304,49.15 - 58.47,-4.1900024,-0.07166072,8.930361,1540166400.0,0.0,19.696642,0.0,18.57062,-2.14039,-2.14039,831036610.0,PRE,2.7557995,54.8812,-0.6012001,-0.010954573,54.617992,-0.33799362,-0.00618832,15,0,America/New_York,EDT,-14400000,MLPI,,,,,,,,,,,,,,,
Energy,energy,30,IBHF,iShares iBonds 2026 Term High Yield and Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.03,10.989010989010989,,,21.47,0.0,0.35,BTS,23.42,22.418,6.18,USD,iShares iBonds 2026 Term High Y,False,False,False,True,1605709800000,2,,,,,0.00500107,0.00500107,0.0221924,,1787947200,22.54,22.56,22.52 - 22.56,22.52,77530,22.535,800.0,2600.0,us_market,finmb_688329335,Cboe US,iShares iBonds 2026 Term High Yield and Income ETF,22.5,246717,153530,[],0.0221924,0.12200165,0.005442129,22.418 - 23.42,-0.87999916,-0.037574686,-3.116268,,0.0,10.58062,0.0,0.7863,-0.29012,-0.29012,810411900.0,PRE,2.13031,22.54868,-0.008678436,-0.0003848756,22.85606,-0.3160591,-0.013828241,15,0,America/New_York,EDT,-14400000,IBHF,,,,,,,,,,,,,,,
Energy,energy,31,IGE,iShares North American Natural Resources ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.98,19.264111,3.12113,39.26701,0.0,0.0,0.37,BTS,66.71,46.65,1.98,USD,iShares North American Natural ,False,False,False,True,1006785000000,2,0.34999847,0.5360675,1788177595.0,65.64,-0.409996,0.29000092,0.44417354,65.64,1787947200,65.29,65.985,65.07 - 65.985,65.07,178191,65.7,1200.0,700.0,us_market,finmb_8796490,Cboe US,iShares North American Natural Resources ETF,65.985,166303,263250,[],-0.624043,18.64,0.39957124,46.65 - 66.71,-1.4199982,-0.021286137,35.653435,,1.077,20.951712,0.016392695,20.61542,-3.30149,-3.30149,747386940.0,PRE,3.1162133,60.2204,5.069599,0.08418408,58.14205,7.147949,0.12293941,15,0,America/New_York,EDT,-14400000,IGE,USD,21150000.0,49.083,1.3301958,,,,,,,,,,,
Energy,energy,32,BSJS,Invesco BulletShares 2028 High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,6.9,7.82472613458529,,,17.39,26.17,0.42,NGM,22.24,21.48,6.17,USD,Invesco BulletShares 2028 High ,False,False,False,True,1600263000000,2,,,,,-0.035001755,-0.035001755,-0.1606322,,1787947200,21.755,21.8399,21.74 - 21.8399,21.74,75239,21.79,2.0,2.0,us_market,finmb_677955584,NasdaqGM,Invesco BulletShares 2028 High Yield Corporate Bond ETF,21.82,159731,77610,[],-0.1606322,0.27499962,0.01280259,21.48 - 22.24,-0.4850006,-0.021807581,-1.2483001,,0.0,,0.0,2.08464,0.92444,0.92444,731269760.0,PRE,,21.7662,-0.011199951,-0.00051455706,21.868755,-0.11375618,-0.0052017677,15,0,America/New_York,EDT,-14400000,BSJS,,,,,,,,,,,,,,,
Energy,energy,33,FCG,First Trust Natural Gas ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,2.17,11.086475,2.66088,98.76396,30.6,31.34,0.59,PCX,33.03,21.76,2.17,USD,First Trust Natural Gas ETF,False,False,False,True,1178890200000,2,0.52000046,1.6910584,1788178604.0,31.27,-0.16,0.52000046,1.6910584,31.27,1787947200,30.78,31.15,30.63 - 31.15,30.63,428281,30.94,2700.0,100.0,us_market,finmb_34335545,NYSEArca,First Trust Natural Gas ETF,30.98,739333,686160,[],-0.517129,9.02,0.41452208,21.76 - 33.03,-2.249998,-0.06811984,26.25103,,,11.852785,,26.78748,-5.83908,-5.83908,650783360.0,PRE,2.596858,28.5476,2.232401,0.07819925,27.59785,3.18215,0.11530426,15,0,America/New_York,EDT,-14400000,FCG,,,,,,,,,,,,,,,
Energy,energy,34,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.85,15.089784,3.51584,75.58776,130.0,0.0,0.37,BTS,138.06,85.93,1.85,USD,iShares U.S. Oil & Gas Explorat,False,False,False,True,1146835800000,2,2.0800018,1.5429137,1788177895.0,136.89,0.630005,2.0800018,1.5429137,136.89,1787947200,134.81,135.46,133.83 - 135.46,133.83,97862,134.18,400.0,400.0,us_market,finmb_27446926,Cboe US,iShares U.S. Oil & Gas Exploration & Production ETF,134.16,76323,83370,[],0.469522,48.879997,0.5688351,85.93 - 138.06,-3.25,-0.02354049,42.65609,,0.0,16.134626,0.0,42.49966,3.07819,3.07819,573560450.0,PRE,8.355322,121.743,13.067001,0.10733268,110.45035,24.35965,0.22054842,15,0,America/New_York,EDT,-14400000,IEO,,,,,,,,,,,,,,,
Energy,energy,35,FDHY,Fidelity Enhanced High Yield ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,11.6402,4.69497,48.45,52.01,0.35,PCX,49.71,48.0,6.56,USD,Fidelity Enhanced High Yield ET,False,False,False,True,1528983000000,2,,,,,-0.071003,-0.071003,-0.144871,,1787947200,48.94,49.04,48.9 - 49.04,48.9,166723,49.011,700.0,100.0,us_market,finmb_560654958,NYSEArca,Fidelity Enhanced High Yield ETF,49.03,80306,84920,[],-0.144871,0.9399986,0.019583305,48.0 - 49.71,-0.77000046,-0.01548985,-0.10206103,,0.0,,0.0,2.69321,0.86996,0.86996,571104320.0,PRE,,49.07004,-0.13004303,-0.0026501513,49.177094,-0.23709488,-0.0048212465,15,0,America/New_York,EDT,-14400000,FDHY,,,,,,,,,,,,,,,
Energy,energy,36,EIPX,FT Energy Income Partners Strategy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.64,17.394329,,,0.0,53.14,0.95,PCX,33.84,25.38,2.64,USD,FT Energy Income Partners Strat,False,False,False,True,1667482200000,2,0.22000122,0.66126007,1788177599.0,33.49,-0.0699997,-0.0699997,-0.209957,33.49,1787947200,33.27,33.41,33.191 - 33.41,33.191,9211,33.34,400.0,600.0,us_market,finmb_1797262554,NYSEArca,FT Energy Income Partners Strategy ETF,33.36,35982,21420,[],-0.209957,7.8900013,0.31087476,25.38 - 33.84,-0.5699997,-0.016843963,26.81532,,0.0,17.882372,0.0,25.01706,-0.03175,-0.03175,563459330.0,PRE,1.8604914,32.35362,0.91638184,0.028323937,30.536375,2.7336254,0.0895203,15,0,America/New_York,EDT,-14400000,EIPX,,,,,,,,,,,,,,,
Energy,energy,37,RSPG,Invesco S&P 500 Equal Weight Energy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.96,18.288222,4.46888,57.80789,102.5,0.0,0.4,PCX,115.86,74.43,1.96,USD,Invesco S&P 500 Equal Weight En,False,False,False,True,1162909800000,2,1.0499954,0.93026966,1788177561.0,113.92,0.480003,1.0599976,0.9392146,113.92,1787947199,112.87,113.16,112.24 - 113.16,112.24,46561,112.39,700.0,100.0,us_market,finmb_30148895,NYSEArca,Invesco S&P 500 Equal Weight Energy ETF,112.52,101990,90640,[],0.427087,38.440002,0.51645845,74.43 - 115.86,-2.9899979,-0.02580699,42.314972,,0.0,19.3204,0.0,35.55862,-1.92421,-1.92421,558633150.0,PRE,5.8420115,105.001,7.8690033,0.07494217,97.68855,15.18145,0.15540664,15,0,America/New_York,EDT,-14400000,RSPG,,,,,,,,,,,,,,,
Energy,energy,38,TNGY,Tortoise Energy Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.46,20.90301,12.47999,24.81223,0.0,0.0,0.85,NYQ,11.3,8.81,4.46,USD,Tortoise Energy ETF,False,False,False,True,1750080600000,2,-0.26069927,-2.3633974,1788177612.0,10.77,-0.0457001,-0.0457001,-0.41259,10.77,1787947125,11.0307,11.075,10.9916 - 11.075,10.9916,608800,11.0764,5000.0,200.0,us_market,finmb_1932832241,NYSE,Tortoise Energy Fund,11.15,81414,175970,[],-0.41259,2.2206993,0.25206575,8.81 - 11.3,-0.26930046,-0.023831898,21.086716,,0.0,22.001417,0.0,19.99459,0.09917,0.09917,555139520.0,PRE,0.50136316,10.36824,0.6624594,0.06389313,9.9316,1.0991001,0.110666975,15,0,America/New_York,EDT,-14400000,TNGY,,,,,,,,,,,,,,,
Energy,energy,39,ENFR,Alerian Energy Infrastructure ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.91,21.612276,15.09933,39.41769,39.5,40.0,0.35,PCX,40.95,29.83,3.91,USD,Alerian Energy Infrastructure E,False,False,False,True,1383312600000,2,0.4300003,1.0839434,1788177581.0,40.1,-0.130001,0.3899994,0.98211884,40.1,1787947200,39.67,39.98,39.625 - 39.98,39.625,53776,39.8,700.0,100.0,us_market,finmb_248244907,NYSEArca,Alerian Energy Infrastructure ETF,39.8,80555,101410,[],-0.326636,9.839998,0.3298692,29.83 - 40.95,-1.2800026,-0.031257693,24.435377,,0.0,21.699081,0.0,28.47757,2.00739,2.00739,519573152.0,PRE,1.828188,39.1976,0.47239685,0.012051677,36.3048,3.3652,0.092692986,15,0,America/New_York,EDT,-14400000,ENFR,,,,,,,,,,,,,,,
Energy,energy,40,UMI,USCF Midstream Energy Income Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.81,21.602938,,,0.0,0.0,0.69,PCX,64.77,47.74,5.81,USD,USCF Midstream Energy Income Fu,False,False,False,True,1512052200000,2,0.37999725,0.6230484,1788177601.0,61.37,-0.23,0.34999847,0.5735799,61.37,1787947190,60.99,61.37,60.935 - 61.37,60.935,16359,61.22,100.0,100.0,us_market,finmb_701133923,NYSEArca,USCF Midstream Energy Income Fund,61.36,18038,23910,[],-0.375693,13.25,0.27754503,47.74 - 64.77,-3.779995,-0.05836028,21.156143,,0.0,21.67758,0.0,26.1678,2.07114,2.07114,509114272.0,PRE,2.8135061,60.35896,0.6310425,0.010454827,56.335007,4.654995,0.08263059,15,0,America/New_York,EDT,-14400000,UMI,,,,,,,,,,,,,,,
Energy,energy,41,IBHI,iShares iBonds 2029 Term High Yield and Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.6,10.989010989010989,,,0.0,0.0,0.35,BTS,23.9,23.01,6.68,USD,iShares iBonds 2029 Term High Y,False,False,False,True,1646922600000,2,,,,,-0.0249996,-0.0249996,-0.106927,,1787947180,23.355,23.41,23.34 - 23.41,23.34,53415,23.38,700.0,400.0,us_market,finmb_1764140351,Cboe US,iShares iBonds 2029 Term High Yield and Income ETF,23.37,106933,71960,[],-0.106927,0.3449993,0.014993452,23.01 - 23.9,-0.5450001,-0.022803351,-0.8701205,,0.0,10.797154,0.0,1.87115,0.68478,0.68478,496723456.0,PRE,2.16307,23.3073,0.047698975,0.002046525,23.44338,-0.08838081,-0.0037699689,15,0,America/New_York,EDT,-14400000,IBHI,,,,,,,,,,,,,,,
Energy,energy,42,FISR,State Street Fixed Income Sector Rotation ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.28,23.866348,5.2203,-1.80929,0.0,0.0,0.5,PCX,26.38,25.101,4.28,USD,State Street Fixed Income Secto,False,False,False,True,1554298200000,2,,,,,-0.0650005,-0.0650005,-0.256767,,1787947186,25.25,25.33,25.2203 - 25.33,25.2203,43191,25.315,800.0,1700.0,us_market,finmb_601827540,NYSEArca,State Street Fixed Income Sector Rotation ETF,25.28,251885,91270,[],-0.256767,0.14900017,0.005936025,25.101 - 26.38,-1.1299992,-0.04283545,-2.0938337,,0.0,23.923975,0.0,-0.59853,-0.66625,-0.66625,491944704.0,PRE,1.0554266,25.36356,-0.11355972,-0.004477279,25.711025,-0.46102524,-0.017931033,15,0,America/New_York,EDT,-14400000,FISR,,,,,,,,,,,,,,,
Energy,energy,43,AMZA,InfraCap MLP ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.81,17.289073,23.46892,52.22081,48.88,51.2,1.72,PCX,50.986,38.01,7.81,USD,InfraCap MLP ETF,False,False,False,True,1412256600000,2,0.83000183,1.6543789,1788177587.0,51.0,-0.280003,-0.280003,-0.55501,51.0,1787947200,50.17,50.76,50.17 - 50.76,50.17,23498,50.45,500.0,700.0,us_market,finmb_269734503,NYSEArca,InfraCap MLP ETF,50.45,35615,30720,[],-0.55501,12.16,0.31991583,38.01 - 50.986,-0.8160019,-0.01600443,17.35673,,0.0,17.677732,0.0,30.7481,5.26993,5.26993,471747264.0,PRE,2.8380334,48.27654,1.8934593,0.039221108,44.902344,5.2676544,0.11731357,15,0,America/New_York,EDT,-14400000,AMZA,,,,,,,,,,,,,,,
Energy,energy,44,PBOG,Portfolio Building Block Integrated Oil And Gas And Exploration And Production Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,32.9,33.05,0.13,NGM,36.36,24.373,,USD,Portfolio Building Block Integr,False,False,False,True,1764599400000,2,,,,,-0.079200745,-0.12000275,-0.34702933,,1787947200,34.5008,34.69,34.39 - 34.69,34.39,31332,34.58,2.0,2.0,us_market,finmb_1959766824,NasdaqGM,Portfolio Building Block Integrated Oil And Gas And Exploration And Production Index ETF,34.47,89133,34030,[],-0.22903627,10.127802,0.41553366,24.373 - 36.36,-1.8591995,-0.0511331,37.75604,,0.0,17.343464,0.0,34.4639,-0.96594,-0.96594,450333920.0,PRE,1.9892682,32.49336,2.0074425,0.061780084,30.95515,3.5456505,0.11454154,15,0,America/New_York,EDT,-14400000,PBOG,,,,,,,,,2025-11-25,,,,,,
Energy,energy,45,BYLD,iShares Yield Optimized Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.3,10.989010989010989,8.18505,-1.05907,0.0,25.28,0.13,PCX,23.14,22.22,5.42,USD,iShares Yield Optimized Bond ET,False,False,False,True,1398346200000,2,,,,,-0.0499992,-0.0499992,-0.223211,,1787947200,22.35,22.4041,22.3399 - 22.4041,22.3399,25057,22.4,1600.0,300.0,us_market,finmb_256111501,NYSEArca,iShares Yield Optimized Bond ETF,22.41,65634,70130,[],-0.223211,0.13000107,0.005850633,22.22 - 23.14,-0.789999,-0.034139976,-1.2809217,,0.0,10.8530445,0.0,0.56227,-0.13789,-0.13789,447195680.0,PRE,2.05933,22.42274,-0.072740555,-0.0032440529,22.65131,-0.3013096,-0.013302082,15,0,America/New_York,EDT,-14400000,BYLD,,,,,,,,,,,,,,,
Energy,energy,46,FLTB,Fidelity Limited Term Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_energy/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,5.99951,-1.06834,46.82,52.82,0.25,PCX,51.155,49.422,4.42,USD,Fidelity Limited Term Bond ETF,False,False,False,True,1412861400000,2,,,,,-0.130001,-0.130001,-0.260262,,1787947200,49.82,49.98,49.8 - 49.98,49.8,366216,49.95,100.0,200.0,us_market,finmb_270037180,NYSEArca,Fidelity Limited Term Bond ETF,49.93,59404,82360,[],-0.260262,0.3979988,0.00805307,49.422 - 51.155,-1.3349991,-0.02609714,-1.5064657,,0.0,,0.0,0.89191,0.27936,0.27936,433136032.0,PRE,,50.06874,-0.24874115,-0.004967993,50.432735,-0.61273575,-0.012149564,15,0,America/New_York,EDT,-14400000,FLTB,,,,,,,,,,,,,,,
