sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_short_name,screen_regular_market_change_percent,screen_net_expense_ratio,screen_bid,screen_ask,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_ipo_expected_date,screen_dividend_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_display_name,screen_prev_name,screen_name_change_date
Materials,basic-materials,11,PICK,iShares MSCI Global Metals & Mining Producers ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.23,18.786399,10.05164,22.34686,USD,BTS,69.02,40.35,2.23,iShares MSCI Global Select Meta,-1.35014,0.39,0.0,0.0,True,1328193000000,2,0.12999725,0.19768438,1788176700.0,65.89,-0.900002,0.17500305,0.2663061,65.89,1787947200,65.76,67.05,65.5 - 67.05,65.5,966277,66.66,100.0,300.0,us_market,finmb_160289298,Cboe US,iShares MSCI Global Metals & Mining Producers ETF,67.14,852006,835150,[],25.410004,0.6297399,40.35 - 69.02,-3.2599945,-0.04723261,61.136974,0.0,20.885777,0.0,16.92766,-2.99445,-2.99445,2171314180.0,PRE,3.1485543,60.3582,5.401802,0.08949575,58.3239,7.436104,0.12749669,15,0,America/New_York,EDT,-14400000,False,False,False,PICK,,8350000.0,,,,,,,,,,,,
Materials,basic-materials,12,RING,iShares MSCI Global Gold Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.42,11.695906,12.61905,-7.96785,USD,NGM,100.41,54.0,1.42,iShares MSCI Global Gold Miners,-3.890111,0.39,72.06,72.58,True,1328193000000,2,0.34000397,0.38875368,1788175502.0,87.8,-3.540001,-3.540001,-3.890111,87.8,1787947200,87.46,91.47,86.67 - 91.47,86.67,716861,91.0,3.0,3.0,us_market,finmb_160291964,NasdaqGM,iShares MSCI Global Gold Miners ETF,91.39,754671,867200,[],33.46,0.6196296,54.0 - 100.41,-12.950005,-0.12897126,57.5572,0.0,16.040834,0.0,-12.93616,-16.22131,-16.22131,2042216190.0,PRE,5.452335,71.3214,16.138596,0.22627984,77.03385,10.426147,0.13534501,15,0,America/New_York,EDT,-14400000,False,False,False,RING,,11500000.0,,,,1514246400.0,,,,,,,,
Materials,basic-materials,13,REMX,VanEck Rare Earth and Strategic Metals ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.98,40.290089,-18.9958,80.47367,USD,PCX,111.55,57.17,1.98,VanEck Rare Earth and Strategic,-2.30915,0.53,77.0,0.0,True,1288272600000,2,1.0899963,1.4082639,1788178989.0,78.49,-1.83,1.0899963,1.4082639,78.49,1787947200,77.42,79.8598,77.185 - 79.8598,77.185,649003,79.25,300.0,100.0,us_market,finmb_115090089,NYSEArca,VanEck Rare Earth and Strategic Metals ETF,79.5,759307,628490,[],20.25,0.35420677,57.17 - 111.55,-34.130005,-0.3059615,27.10557,0.0,35.22198,0.0,-10.69054,-36.98669,-36.98669,1900761980.0,PRE,2.198059,77.9244,-0.50440216,-0.006472968,86.0996,-8.679604,-0.100808874,15,0,America/New_York,EDT,-14400000,False,False,False,REMX,,,,,,,,,,,,,,
Materials,basic-materials,14,VPLS,Vanguard Core-Plus Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.59,36.616624,,,USD,NGM,79.41,76.16,4.59,Vanguard Core Plus Bond ETF,-0.2987322,0.2,70.43,82.68,True,1701959400000,2,,,,,-0.22920227,-0.22499847,-0.29325315,,1787947200,76.4958,76.76,76.4828 - 76.76,76.4828,95587,76.725,2.0,2.0,us_market,finmb_1676103236,NasdaqGM,Vanguard Core-Plus Bond ETF,76.67,206333,219320,[],0.33579254,0.0044090403,76.16 - 79.41,-2.9142075,-0.03669824,-1.3909101,,36.768414,,-0.18313,-0.59559,-0.59559,1747188350.0,PRE,2.0804758,76.78266,-0.28686523,-0.0037360678,77.70733,-1.2115326,-0.0155909695,15,0,America/New_York,EDT,-14400000,False,False,False,VPLS,,,,,2023-12-07,,,,,,,,,
Materials,basic-materials,15,CARY,Angel Oak Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,USD,NGM,21.545,20.581,5.71,Angel Oak Income ETF,-0.14465134,0.8,20.65,20.71,True,1667917800000,2,0.9342003,4.5108657,1788163203.0,21.6442,-0.030000687,-0.030000687,-0.14465134,21.6442,1787947201,20.71,20.7599,20.71 - 20.7599,20.71,289861,20.74,8.0,16.0,us_market,finmb_1800756921,NasdaqGM,Angel Oak Income ETF,20.74,399485,267560,[],0.12899971,0.006267903,20.581 - 21.545,-0.835001,-0.03875614,-0.71908236,0.0,,0.0,1.9451,0.47561,0.47561,1382278910.0,PRE,,20.74214,-0.03214073,-0.0015495379,20.856924,-0.14692497,-0.007044422,15,0,America/New_York,EDT,-14400000,False,False,False,CARY,,,,,2024-12-20,,,,,,,,,
Materials,basic-materials,16,IYM,iShares U.S. Basic Materials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.33,22.217285,12.72761,25.51911,USD,PCX,197.36,139.08,1.33,iShares U.S. Basic Materials ET,-1.18014,0.38,0.0,0.0,True,961507800000,2,,,,,-2.31001,-2.31001,-1.18014,,1787947200,193.43,196.92,192.81 - 196.92,192.81,67153,195.74,100.0,400.0,us_market,finmb_8795771,NYSEArca,iShares U.S. Basic Materials ETF,196.58,207323,74660,[],54.34999,0.3907822,139.08 - 197.36,-3.930008,-0.01991289,30.449152,1.797,24.453705,0.009180546,14.82754,-2.90745,-2.90745,1159882620.0,PRE,7.9100485,182.8782,10.551788,0.057698447,174.7533,18.676697,0.106874645,15,0,America/New_York,EDT,-14400000,False,False,False,IYM,USD,4200000.0,133.641,1.4473851,,,,,,,,,,
Materials,basic-materials,17,VSDB,Vanguard Short Duration Bond ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.98,47.103156,,,USD,BTS,77.64,75.7,3.98,Vanguard Short Duration Bond ET,-0.190594,0.15,0.0,0.0,True,1743687000000,2,,,,,-0.145004,-0.145004,-0.190594,,1787947187,75.935,76.1016,75.9164 - 76.1016,75.9164,96242,76.08,200.0,600.0,us_market,finmb_1917052984,Cboe US,Vanguard Short Duration Bond ETF Shares,76.075,65738,61450,[],0.23500061,0.0031043675,75.7 - 77.64,-1.7050018,-0.021960353,-0.42225718,0.0,47.1746,0.0,1.15645,0.33987,0.33987,920075710.0,PRE,1.6096586,76.00408,-0.06908417,-0.00090895337,76.32826,-0.39326477,-0.0051522823,15,0,America/New_York,EDT,-14400000,False,False,False,VSDB,,,,,,,,,,,,,,
Materials,basic-materials,18,NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.65,12.916559,2.71469,-26.28461,USD,PCX,320.79,98.81,0.65,Direxion Daily Gold Miners Inde,-7.7423,1.13,0.0,0.0,True,1291818600000,2,0.9049988,0.46578595,1788179003.0,195.2,-16.32,0.9049988,0.46578595,195.2,1787947200,194.47,215.15,190.51 - 215.15,190.51,1400939,210.79,100.0,300.0,us_market,finmb_116840403,NYSEArca,Direxion Daily Gold Miners Index Bull 2X Shares,212.98,717174,840950,[],95.66,0.9681207,98.81 - 320.79,-126.32001,-0.39377788,72.923706,,22.683733,,-39.61807,-35.04024,-35.04024,847332160.0,PRE,8.573104,138.7932,55.676804,0.40114936,183.08315,11.386856,0.062195,15,0,America/New_York,EDT,-14400000,False,False,False,NUGT,,,,,,,,,,,,,,
Materials,basic-materials,19,SLVP,iShares MSCI Global Silver and Metals Miners ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,2.37,15.188335,-2.05343,-23.04693,USD,BTS,50.15,21.8,2.37,iShares MSCI Global Silver and ,-3.93795,0.39,39.25,0.0,True,1328193000000,2,0.45999908,1.1428548,1788177556.0,40.71,-1.65,0.5550003,1.382145,40.71,1787947200,40.25,42.445,39.695 - 42.445,39.695,515700,41.9,200.0,100.0,us_market,finmb_160292609,Cboe US,iShares MSCI Global Silver and Metals Miners ETF,42.25,310080,471970,[],18.45,0.84633034,21.8 - 50.15,-9.900002,-0.1974078,77.156685,,20.583519,,-12.68036,-15.72493,-15.72493,775289730.0,PRE,1.955448,33.4004,6.8496017,0.20507546,35.8282,4.4217987,0.12341671,15,0,America/New_York,EDT,-14400000,False,False,False,SLVP,,7100000.0,,,,,,,,,,,,
Materials,basic-materials,20,GDXU,MicroSectors Gold Miners 3X Leveraged ETNs,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_basic-materials/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.0,12.797543,,,USD,PCX,540.78,64.45,0.0,MicroSectors Gold Miners 3X Lev,-12.3624,0.95,168.03,168.79,True,1607005800000,2,1.0599976,0.6349572,1788179005.0,168.0,-23.48,1.0599976,0.6349572,168.0,1787947200,166.45,194.7014,161.08 - 194.7014,161.08,2726819,189.93,500.0,700.0,us_market,finmb_698149477,NYSEArca,MicroSectors Gold Miners 3X Leveraged ETNs,193.1,1666823,1825730,[],102.0,1.5826223,64.45 - 540.78,-374.33002,-0.6922038,29.978132,0.0,28.404287,0.0,-69.1481,-55.74377,-55.74377,674947580.0,PRE,5.8600307,107.8184,58.6316,0.5437996,210.54755,-44.09755,-0.20944224,15,0,America/New_York,EDT,-14400000,False,False,False,GDXU,,,,,,,1756125000.0,1756470600.0,1748433600.0,1748433600.0,False,,,
