sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_post_market_time,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_currency,screen_first_trade_date_milliseconds,screen_bid,screen_ask,screen_long_name,screen_has_pre_post_market_data,screen_full_exchange_name,screen_price_hint,screen_post_market_change_percent,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_regular_market_change_percent,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_bid_size,screen_market,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_ask_size,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_regular_market_previous_close,screen_message_board_id,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_net_expense_ratio,screen_two_hundred_day_average_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_symbol,screen_eps_forward,screen_forward_pe,screen_dividend_date,screen_ipo_expected_date,screen_display_name,screen_market_cap,screen_implied_shares_outstanding,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_prev_name,screen_name_change_date
Utilities,utilities,34,JHPI,John Hancock Preferred Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.21,19.37984496124031,,,1784318400,22.75,22.77,22.75,0.0,-0.0200005,22.73 - 22.77,22.73,29173,1784322300.0,False,False,False,USD,1639578600000,21.64,24.42,John Hancock Preferred Income ETF,True,NYSEArca,2,0.0,0.0,1.75125,2.31298,2.31298,206558752.0,CLOSED,-0.0878369,22.76,51311,47330,[],0.32500076,100,us_market,0.014492788,22.425 - 23.56,-0.80999947,100,-0.034380283,0.54359436,1.1517121,,22.77,finmb_1758766137,,22.82676,-0.07675934,-0.003362691,22.9802,-0.23019981,,15,0,America/New_York,EDT,-14400000,PCX,23.56,22.425,5.68,,John Hancock Preferred Income E,0.54,-0.010017311,0.0,19.7532,JHPI,,,,,,,,,,,
Utilities,utilities,35,GHYG,iShares US & Intl High Yield Corp Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,6.05,10.989010989010989,13.7334,2.01723,1784317484,45.2198,45.235,45.2198,0.0,-0.0401993,45.17 - 45.235,45.17,21405,1784322300.0,False,False,False,USD,1333978200000,45.17,45.23,iShares US & Intl High Yield Corp Bond ETF,True,Cboe US,2,0.0,0.0,0.93825,2.21302,2.21302,199005888.0,CLOSED,-0.0888186,45.18,24220,35020,[],0.82979965,700,us_market,0.018693391,44.39 - 46.88,-1.660202,100,-0.035413865,-2.1423936,4.08499,,45.26,finmb_183612145,,45.248,-0.028202057,-0.0006232774,45.72225,-0.50245285,,15,0,America/New_York,EDT,-14400000,BTS,46.88,44.39,6.24,,iShares US & Intl High Yield Co,0.4,-0.010989241,0.0,11.069745,GHYG,,,,,,,,,,,
Utilities,utilities,36,MAMB,Monarch Ambassador Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,1784317315,23.8089,23.82,23.8089,0.0,-0.0110989,23.8089 - 23.82,23.8089,13818,1784322300.0,False,False,False,USD,1617024600000,23.8,23.81,Monarch Ambassador Income ETF,True,Cboe US,2,0.0,0.0,1.69111,0.51007,0.51007,186910688.0,CLOSED,-0.0465947,23.82,26191,39160,[],0.8389015,200,us_market,0.036521617,22.97 - 24.83,-1.0210991,600,-0.041123603,3.3376694,,,23.82,finmb_704720611,,24.13408,-0.32518005,-0.013473894,24.187004,-0.37810326,,15,0,America/New_York,EDT,-14400000,BTS,24.83,22.97,2.66,,Monarch Ambassador Income Index,1.15,-0.015632497,0.0,,MAMB,,,,,,,,,,,
Utilities,utilities,37,KNRG,Simplify Kayne Anderson Energy and Infrastructure Credit ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,1784314624,25.8089,25.85,25.8089,0.0,0.00900078,25.79 - 25.85,25.79,94721,1784322300.0,False,False,False,USD,1748439000000,19.35,32.24,Simplify Kayne Anderson Energy and Infrastructure Credit ETF,True,NYSEArca,2,0.0,0.0,2.73235,2.97697,2.97697,150456800.0,CLOSED,0.0348869,25.82,17651,27550,[],0.59890175,200,us_market,0.023756515,25.21 - 26.31,-0.50109863,400,-0.019045938,0.88734627,,,25.7999,finmb_1940118709,,25.77178,0.03712082,0.001440367,25.85827,-0.049369812,,15,0,America/New_York,EDT,-14400000,PCX,26.31,25.21,6.92,,Simplify Kayne Anderson Energy ,0.76,-0.0019092464,0.0,,KNRG,,,,,,,,,,,
Utilities,utilities,38,JHCP,JHancock Core Plus Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,1784318352,24.9992,25.0092,24.9992,0.0,0.0392017,24.985 - 25.0092,24.985,79945,1784318695.0,False,False,False,USD,1734532200000,21.84,31.23,JHancock Core Plus Bond ETF,True,NYSEArca,2,0.0,0.0,0.79156,1.00785,1.00785,131428640.0,CLOSED,0.157058,25.0,85600,331780,[],0.2091999,300,us_market,0.008438882,24.79 - 26.14,-1.1407986,100,-0.043641873,-0.2871871,,,24.96,finmb_1898879479,,25.04578,-0.04657936,-0.0018597688,25.34837,-0.34916878,,15,0,America/New_York,EDT,-14400000,PCX,26.14,24.79,4.62,,John Hancock Core Plus Bond ETF,0.36,-0.013774802,0.0,,JHCP,,,,,,,,,,,
Utilities,utilities,39,TPZ,Tortoise Electrification Infrastructure ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.7,23.34812,,,1784318412,22.03,22.15,22.03,0.0,-0.0349998,21.9799 - 22.15,21.9799,3997,1784322300.0,False,False,False,USD,1248874200000,18.89,23.03,Tortoise Electrification Infrastructure ETF,True,NYSE,2,0.0,0.0,9.4672,0.88658,0.88658,127860640.0,CLOSED,-0.158622,22.16,10298,7640,[],2.1000004,200,us_market,0.10536881,19.93 - 23.03,-1.0,1000,-0.043421622,7.884431,0.9366921,5890170.0,22.065,finmb_36142071,,22.002,0.027999878,0.001272606,21.55905,0.47095108,,15,0,America/New_York,EDT,-14400000,NYQ,23.03,19.93,3.7,,Tortoise Electrification Infras,0.85,0.021844706,0.0,23.518934,TPZ,-0.01,-2203.0,1551312000.0,,Tortoise Power and Energy Infrastructure Fund,129760448.0,5890170.0,1524760200.0,1524846600.0,,
Utilities,utilities,40,FCVT,First Trust SSI Strategic Convertible Securities ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.1,40.48583,6.8567,3.68648,1784318400,49.3731,49.47,49.3731,-0.056900024,0.04309845,48.49 - 49.47,48.49,41107,1784319005.0,False,False,False,USD,1446647400000,49.16,49.61,First Trust SSI Strategic Convertible Securities ETF,True,NasdaqGM,2,-0.11511233,0.0,25.16613,21.25553,21.25553,120864240.0,CLOSED,0.087367624,49.15,20408,18530,[],10.4081,3,us_market,0.26711407,38.965 - 54.9,-5.5269012,4,-0.10067215,24.049652,1.328245,,49.33,finmb_307331502,,52.19098,-2.8178787,-0.053991683,46.795647,2.5774536,,15,0,America/New_York,EDT,-14400000,NGM,54.9,38.965,1.1,,First Trust SSI Strategic Conve,0.95,0.05507892,0.0,37.17168,FCVT,,,1496188800.0,,,,,,,,
Utilities,utilities,41,HYGW,iShares High Yield Corporate Bond Buywrite Strategy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,12.06,10.989010989010989,,,1784318400,28.92,29.0,28.92,0.0,-0.0499992,28.92 - 29.0,28.92,14432,1784322300.0,False,False,False,USD,1661175000000,28.92,28.94,iShares High Yield Corporate Bond Buywrite Strategy ETF,True,Cboe US,2,0.0,0.0,2.43091,2.10088,2.10088,109794752.0,CLOSED,-0.17259,29.03,78467,26310,[],0.09000015,4300,us_market,0.0031217535,28.83 - 30.456,-1.5359993,100,-0.05043339,-4.4914126,2.8966484,,28.97,finmb_1780838005,,29.00054,-0.0805397,-0.0027771795,29.59179,-0.67178917,,15,0,America/New_York,EDT,-14400000,BTS,30.456,28.83,9.24,,iShares High Yield Corporate Bo,0.69,-0.022701878,0.0,9.9839525,HYGW,,,,,,,,,,,
Utilities,utilities,42,WTBN,Wisdomtree Bianco Fixed Income Total Return Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,1784318400,24.925,24.965,24.925,0.0049991608,0.0,24.87 - 24.965,24.87,14054,1784319005.0,False,False,False,USD,1703082600000,17.97,31.97,Wisdomtree Bianco Fixed Income Total Return Fund,True,NasdaqGM,2,0.020060837,0.0,0.29609,0.68672,0.68672,107324560.0,CLOSED,0.0,24.952,23250,34050,[],0.074998856,2,us_market,0.0030180626,24.85 - 26.0,-1.0750008,2,-0.041346185,-1.7036736,,,24.925,finmb_1861385923,,25.12274,-0.19774055,-0.007870979,25.45819,-0.5331917,,15,0,America/New_York,EDT,-14400000,NGM,26.0,24.85,4.05,,WisdomTree Bianco Total Return ,0.6,-0.020943817,0.0,,WTBN,,,,2023-12-20,,,,,,,
Utilities,utilities,43,HISF,First Trust High Income Strategic Focus ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_utilities/,2026-07-19T02:51:50+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.6,22.321428571428573,6.4996,9.53016,1784318400,44.23,44.255,44.23,0.020000458,9.918213e-05,44.21 - 44.255,44.21,3722,1784319004.0,False,False,False,USD,1408023000000,31.85,56.67,First Trust High Income Strategic Focus ETF,True,NasdaqGM,2,0.04523967,0.0,0.51855,1.16741,1.16741,97459280.0,CLOSED,0.00022424226,44.255,7633,8420,[],0.34000015,2,us_market,0.007746643,43.89 - 45.615,-1.3850021,2,-0.030362865,-0.75170994,,,44.2299,finmb_264493463,,44.32614,-0.096141815,-0.0021689641,44.885845,-0.65584564,,15,0,America/New_York,EDT,-14400000,NGM,45.615,43.89,5.03,,First Trust High Income Strateg,0.83,-0.014611414,0.0,,HISF,,,,,,,,,,,
