sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_currency,screen_ask,screen_bid,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_regular_market_change_percent,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_financial_currency,screen_short_name,screen_net_expense_ratio,screen_symbol,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_dividend_date,screen_ipo_expected_date,screen_display_name,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date
Financials,financial-services,11,NVDL,GraniteShares 2x Long NVDA Daily ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,True,1670941800000,2,0.44060135,1.3054855,1788178990.0,34.1906,-3.3199997,0.44060135,1.3054855,34.1906,1787947200,33.75,37.56,33.52 - 37.56,33.52,24644786,37.07,2,2,us_market,finmb_1788008972,NasdaqGM,GraniteShares 2x Long NVDA Daily ETF,36.9,16097426,17808690,[],12.213333,0.56709486,21.536667 - 43.273335,-9.5233345,-0.22007397,26.863802,0.0,,0.0,0.34095,-5.44072,-5.44072,3264780290.0,PRE,,USD,43.86,25.7,NGM,43.273335,21.536667,0.0,-8.956029,,,31.928734,1.8212662,0.057041604,30.399767,3.350233,0.11020588,,15,0,America/New_York,EDT,-14400000,False,False,False,,GraniteShares 2x Long NVDA Dail,1.05,NVDL,,,,2022-12-13,,,,,,
Financials,financial-services,12,ANGL,VanEck Fallen Angel High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,6.34,59.98800239952009,12.9223,7.24747,True,1334151000000,2,0.059999466,0.2066809,1788176541.0,29.09,-0.06499863,-0.06499863,-0.22340137,29.09,1787947200,29.03,29.115,29.02 - 29.115,29.02,745877,29.095,1,1,us_market,finmb_184315290,NasdaqGM,VanEck Fallen Angel High Yield Bond ETF,29.06,704866,723850,[],0.6700001,0.023624826,28.36 - 29.78,-0.75,-0.025184687,-0.5481303,0.0,60.720078,0.0,1.60098,0.51415,0.51415,3047796740.0,PRE,0.4780956,USD,29.86,28.11,NGM,29.78,28.36,6.49,-0.22340137,,,29.0392,-0.009199142,-0.0003167836,29.2045,-0.17449951,-0.00597509,,15,0,America/New_York,EDT,-14400000,False,False,False,,VanEck Fallen Angel High Yield ,0.25,ANGL,,,,,,,,,,
Financials,financial-services,13,BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,-8.34945,26.28328,True,1490967000000,2,0.14999962,0.5896211,1788177894.0,25.59,0.0,0.1800003,0.70699257,25.59,1787947200,25.44,25.59,25.415 - 25.59,25.415,988702,25.44,4100,1600,us_market,finmb_418944636,NYSEArca,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,25.53,1648653,1063540,[],5.9659996,0.30635715,19.474 - 25.97,-0.5299988,-0.020408116,19.774008,0.0,,0.0,22.68609,-5.21403,-5.21403,2977769730.0,PRE,,USD,25.65,25.35,PCX,25.97,19.474,11.36,0.0,,,23.8241,1.6159,0.06782628,23.183676,2.2563248,0.09732386,,15,0,America/New_York,EDT,-14400000,False,False,False,,abrdn Bloomberg All Commodity S,0.26,BCI,,,,,,,,,,
Financials,financial-services,14,SCYB,Schwab High Yield Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,7.11,59.98800239952009,,,True,1689082200000,2,-0.013000488,-0.04986762,1788177569.0,26.057,-0.0300007,0.024999619,0.09598625,26.057,1787947200,26.07,26.13,26.04 - 26.13,26.04,1268539,26.1,31000,3900,us_market,finmb_1822786512,NYSEArca,Schwab High Yield Bond ETF,26.1,1152782,867650,[],0.36999893,0.014396845,25.7 - 26.78,-0.710001,-0.026512358,-1.2873888,0.0,59.735954,0.0,1.60066,0.46874,0.46874,2753794050.0,PRE,0.4364206,USD,26.07,26.05,PCX,26.78,25.7,6.95,-0.114945,,,26.05276,0.017240524,0.0006617543,26.245665,-0.1756649,-0.0066931015,,15,0,America/New_York,EDT,-14400000,False,False,False,,Schwab High Yield Bond ETF,0.03,SCYB,,,,,,,,,,
Financials,financial-services,15,PFFA,Virtus InfraCap U.S. Preferred Stock ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,8.61,42.087542,24.81526,24.06526,True,1526477400000,2,0.099998474,0.47731966,1788177666.0,21.05,-0.109999,0.07999992,0.38149703,21.05,1787947200,20.95,21.0805,20.95 - 21.0805,20.95,559753,21.06,800,2000,us_market,finmb_544631656,NYSEArca,Virtus InfraCap U.S. Preferred Stock ETF,21.06,891242,706390,[],0.7200012,0.035590768,20.23 - 22.5,-1.5499992,-0.06888886,-3.456223,0.0,42.854153,0.0,1.59987,-1.57248,-1.57248,2454476800.0,PRE,0.48886746,USD,21.11,20.95,PCX,22.5,20.23,8.61,-0.522311,,,20.841,0.10900116,0.005230131,21.3074,-0.357399,-0.016773468,,15,0,America/New_York,EDT,-14400000,False,False,False,,Virtus InfraCap U.S. Preferred ,2.11,PFFA,,,1532908800.0,,,,,,,
Financials,financial-services,16,FNCL,Fidelity MSCI Financials Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.56,16.173379,14.02506,35.09997,True,1382621400000,2,1.1399994,1.3796436,1788176700.0,83.77,0.199997,1.109993,1.3428416,83.77,1787947200,82.63,83.14,82.545 - 83.14,82.545,77545,82.43,500,200,us_market,finmb_243638581,NYSEArca,Fidelity MSCI Financials Index ETF,82.57,99009,98620,[],14.869995,0.21945092,67.76 - 83.16,-0.5300064,-0.0063733333,8.4525585,0.0,16.485085,0.0,5.344,9.35867,9.35867,2375280640.0,PRE,5.0124097,USD,87.52,78.08,PCX,83.16,67.76,1.56,0.242626,,,80.4274,2.2025986,0.027386172,75.9897,6.640297,0.08738417,,15,0,America/New_York,EDT,-14400000,False,False,False,,Fidelity MSCI Financials Index ,0.084,FNCL,,,,,,,,,,
Financials,financial-services,17,FAS,Direxion Daily Financial Bull 3X Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.03,16.661113,14.54028,116.6314,True,1227105000000,2,-2.2649994,-1.2390249,1788178594.0,180.54,1.59,-2.2649994,-1.2390249,180.54,1787947200,182.73,185.7999,181.29 - 185.7999,181.29,264005,181.14,100,500,us_market,finmb_51234518,NYSEArca,Direxion Daily Financial Bull 3X Shares,181.69,489784,260210,[],75.81999,0.70919454,106.91 - 187.25,-4.5200043,-0.024138875,3.8710833,0.0,17.49503,0.0,4.21819,26.68981,26.68981,2364786430.0,PRE,10.44468,USD,181.99,180.93,PCX,187.25,106.91,1.03,0.877772,,,170.1118,12.618195,0.074175894,151.2149,31.51509,0.2084126,,15,0,America/New_York,EDT,-14400000,False,False,False,,Direxion Financial Bull 3X ETF,0.88,FAS,,,,,,,,,,
Financials,financial-services,18,TAGG,T. Rowe Price QM U.S. Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.35,34.04834865509023,,,True,1632922200000,2,,,,,-0.125,-0.125,-0.298258,,1787947190,41.785,41.9196,41.76 - 41.9196,41.76,144023,41.91,200,100,us_market,finmb_717735655,NYSEArca,T. Rowe Price QM U.S. Bond ETF,41.87,319406,174690,[],0.084999084,0.0020383473,41.7 - 43.72,-1.9350014,-0.044258952,-1.9821703,0.0,33.974766,0.0,-0.58638,-0.71108,-0.71108,2315887360.0,PRE,1.2298834,USD,0.0,0.0,PCX,43.72,41.7,4.6,-0.298258,,,42.11562,-0.3306198,-0.007850289,42.700893,-0.91589355,-0.021449048,,15,0,America/New_York,EDT,-14400000,False,False,False,,T. Rowe Price QM U.S. Bond ETF,0.08,TAGG,,,,,,,,,,
Financials,financial-services,19,IYG,iShares U.S. Financial Services ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.03,17.427675,15.9615,30.34911,True,961594200000,2,0.0,0.0,1788177160.0,97.81,0.339996,0.0,0.0,97.81,1787947200,97.81,98.4,97.67 - 98.4,97.67,50163,97.47,200,400,us_market,finmb_13401572,NYSEArca,iShares U.S. Financial Services ETF,97.68,88863,79400,[],17.939995,0.22461493,79.87 - 98.4,-0.59000397,-0.0059959753,9.874189,2.499,17.849548,0.025638659,4.1139,8.72749,8.72749,2172585220.0,PRE,5.47969,USD,0.0,96.67,PCX,98.4,79.87,1.03,0.348822,10400000.0,199.699,94.9728,2.8371964,0.029873777,89.85575,7.9542465,0.0885224,0.4897871,15,0,America/New_York,EDT,-14400000,False,False,False,USD,iShares U.S. Financial Services,0.38,IYG,,,,,,,,,,
Financials,financial-services,20,CRUX,Columbia Core Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_financial-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.21,13.368984,7.28085,-0.66865,True,1773667800000,2,,,,,-0.0949993,-0.0949993,-0.320889,,1787947200,29.51,29.61,29.51 - 29.61,29.51,1102096,29.605,600,2700,us_market,finmb_1960666051,NYSEArca,Columbia Core Bond ETF,29.58,272768,319760,[],0.13000107,0.004424815,29.38 - 30.84,-1.3299999,-0.04312581,-2.0902455,0.0,13.176978,0.0,-0.48582,-0.80125,-0.80125,2121995780.0,PRE,2.239512,USD,30.91,28.11,PCX,30.84,29.38,4.21,-0.320889,,,29.642,-0.13199997,-0.00445314,29.819138,-0.30913734,-0.010367079,,15,0,America/New_York,EDT,-14400000,False,False,False,,Columbia Core Bond ETF,0.32,CRUX,,,,,,,,,,
