sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_currency,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_regular_market_change_percent,screen_net_expense_ratio,screen_bid,screen_ask,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_prev_name,screen_name_change_date,screen_market_cap,screen_implied_shares_outstanding
Emerging Markets,emerging_markets,11,ESGE,iShares ESG Aware MSCI EM ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,NGM,57.11,40.07,2.18,,iShares ESG Aware MSCI EM ETF,-0.6804022,0.25,52.6,52.99,True,1469021400000,2,-0.30999756,-0.5739633,1788175629.0,53.7,-0.37000275,-0.37000275,-0.6804022,53.7,1787947201,54.01,54.675,53.9103 - 54.675,53.9103,537146,54.38,1.0,1.0,us_market,finmb_330375417,NasdaqGM,iShares ESG Aware MSCI EM ETF,54.44,855553,520110,[],13.939999,0.34789115,40.07 - 57.11,-3.1000023,-0.05428125,33.58892,0.0,17.167576,0.0,17.90481,3.09113,3.09113,6633638400.0,PRE,3.1460469,,,52.8819,1.1280975,0.021332394,49.352165,4.657833,0.09437951,,15,0,America/New_York,EDT,-14400000,False,False,False,ESGE,1482883200.0,,,,,
Emerging Markets,emerging_markets,12,DEM,WisdomTree Emerging Markets High Dividend Fund,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,PCX,56.53,44.23,4.19,,WisdomTree Emerging Markets Hig,-0.108345,0.63,52.18,58.49,True,1184333400000,2,,,,,-0.0600014,-0.0600014,-0.108345,,1787947200,55.32,55.7709,55.2054 - 55.7709,55.2054,90841,55.38,200.0,100.0,us_market,finmb_35615252,NYSEArca,WisdomTree Emerging Markets High Dividend Fund,55.72,237928,192760,[],11.09,0.2507348,44.23 - 56.53,-1.2099991,-0.021404548,20.68063,,11.73035,,16.40459,4.81611,4.81611,3892970500.0,PRE,4.715972,,,54.1288,1.1912003,0.022006774,51.2034,4.1166,0.08039701,,15,0,America/New_York,EDT,-14400000,False,False,False,DEM,,,,,,
Emerging Markets,emerging_markets,13,EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,BTS,77.39,62.48,2.27,,iShares MSCI Emerging Markets M,-0.118739,0.25,71.33,0.0,True,1319117400000,2,0.47000122,0.6207915,1788174646.0,76.18,-0.090004,-0.090004,-0.118739,76.18,1787947201,75.71,76.375,75.58 - 76.375,75.58,120875,75.8,100.0,100.0,us_market,finmb_141889129,Cboe US,iShares MSCI Emerging Markets Min Vol Factor ETF,76.11,251009,177190,[],13.23,0.21174775,62.48 - 77.39,-1.6800003,-0.021708235,20.69186,0.0,18.344059,0.0,12.25977,2.50381,2.50381,3448891390.0,PRE,4.1272216,94900000.0,,73.6092,2.1007996,0.028539905,69.2154,6.4945984,0.093831696,,15,0,America/New_York,EDT,-14400000,False,False,False,EEMV,,,,,,
Emerging Markets,emerging_markets,14,FRDM,Freedom 100 Emerging Markets ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,BTS,76.9,41.02,1.65,,Freedom 100 Emerging Markets ET,-0.895699,0.49,0.0,0.0,True,1560519000000,2,,,,,-0.620003,-0.620003,-0.895699,,1787947191,68.6,69.54,68.33 - 69.54,68.33,276495,69.22,500.0,1200.0,us_market,finmb_603717845,Cboe US,Freedom 100 Emerging Markets ETF,69.36,310509,226480,[],27.579998,0.6723549,41.02 - 76.9,-8.300003,-0.10793242,65.26139,0.0,16.9189,0.0,31.12889,8.245,8.245,3343378940.0,PRE,4.054637,,,68.1142,0.4858017,0.007132165,60.81925,7.7807503,0.12793237,,15,0,America/New_York,EDT,-14400000,False,False,False,FRDM,,,,,,
Emerging Markets,emerging_markets,15,CGNG,Capital Group New Geography Equity ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,PCX,38.25,29.02,0.6,,Capital Group New Geography Equ,-0.754714,0.64,0.0,0.0,True,1719495000000,2,-0.8100014,-2.1998951,1788176700.0,36.01,-0.279999,-0.279999,-0.754714,36.01,1787947200,36.82,37.21,36.734 - 37.21,36.734,717154,37.1,900.0,500.0,us_market,finmb_1871155046,NYSEArca,Capital Group New Geography Equity ETF,37.15,644595,568280,[],7.799999,0.2687801,29.02 - 38.25,-1.4300003,-0.037385628,25.880337,0.0,20.391825,0.0,12.48826,4.23434,4.23434,2790554880.0,PRE,1.8056256,,,36.35964,0.46036148,0.012661333,34.26936,2.55064,0.07442918,,15,0,America/New_York,EDT,-14400000,False,False,False,CGNG,,,,,,
Emerging Markets,emerging_markets,16,XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,PCX,51.38,35.18,1.64,,WisdomTree Emerging Markets Ex-,-0.646367,0.32,43.05,0.0,True,1419863400000,2,,,,,-0.309998,-0.309998,-0.646367,,1787947200,47.65,48.1499,47.51 - 48.1499,47.51,40537,47.96,500.0,400.0,us_market,finmb_272923697,NYSEArca,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,48.08,119179,63590,[],12.470001,0.3544628,35.18 - 51.38,-3.7299995,-0.072596334,34.225357,,20.495893,,18.78417,4.45828,4.45828,2067554690.0,PRE,2.324856,,,46.9857,0.6643028,0.014138405,43.62508,4.0249214,0.09226164,,15,0,America/New_York,EDT,-14400000,False,False,False,XSOE,,,,,,
Emerging Markets,emerging_markets,17,EMOP,AB Emerging Markets Opportunities ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,PCX,54.35,36.89,1.61,,AB Emerging Markets Opportuniti,-0.137686,0.7,20.31,81.23,True,1750253400000,2,1.2299995,2.4226897,1788177599.0,52.0,-0.0699997,0.0,0.0,52.0,1787947198,50.77,51.04,50.64 - 51.04,50.64,67695,50.84,100.0,500.0,us_market,finmb_1937250723,NYSEArca,AB Emerging Markets Opportunities ETF,50.83,77912,59760,[],13.880001,0.37625375,36.89 - 54.35,-3.579998,-0.06586933,37.36844,0.0,14.376787,0.0,20.25559,1.92825,1.92825,2026195070.0,PRE,3.531387,,,50.37938,0.3906212,0.0077535925,46.763985,4.006016,0.08566455,,15,0,America/New_York,EDT,-14400000,False,False,False,EMOP,,,,,,
Emerging Markets,emerging_markets,18,DFEV,Dimensional Emerging Markets Value ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,PCX,44.945,30.43,2.15,,Dimensional Emerging Markets Va,-0.187481,0.43,42.7,0.0,True,1651066200000,2,0.11999893,0.28175378,1788177716.0,42.71,-0.079998,0.40999985,0.9626669,42.71,1787947200,42.59,43.055,42.49 - 43.055,42.49,218808,42.67,500.0,200.0,us_market,finmb_1760559109,NYSEArca,Dimensional Emerging Markets Value ETF,42.89,244620,208470,[],12.16,0.39960563,30.43 - 44.945,-2.3549995,-0.052397363,39.04668,0.0,13.997988,0.0,19.66505,2.48124,2.48124,1982997380.0,PRE,3.0425801,,,41.39704,1.1929588,0.02881749,38.24391,4.3460884,0.113641314,,15,0,America/New_York,EDT,-14400000,False,False,False,DFEV,,,,,,
Emerging Markets,emerging_markets,19,PXH,Invesco RAFI Emerging Markets ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,PCX,30.11,24.15,4.23,,Invesco RAFI Emerging Markets E,-0.10156,0.47,29.0,30.0,True,1190986200000,2,,,,,-0.0300007,-0.0300007,-0.10156,,1787947200,29.51,29.6999,29.3799 - 29.6999,29.3799,125712,29.54,700.0,600.0,us_market,finmb_37457133,NYSEArca,Invesco RAFI Emerging Markets ETF,29.6,217146,136900,[],5.3600006,0.2219462,24.15 - 30.11,-0.6000004,-0.019926947,20.942629,0.0,12.046718,0.0,13.81434,2.61859,2.61859,1949774850.0,PRE,2.44963,,,28.6226,0.8873997,0.03100346,27.73875,1.7712498,0.06385471,,15,0,America/New_York,EDT,-14400000,False,False,False,PXH,,,,,,
Emerging Markets,emerging_markets,20,XCEM,Columbia EM Core ex-China ETF,Yahoo Finance custom ETF screener,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,PCX,55.43,33.9,2.58,,Columbia EM Core ex-China ETF,-0.853538,0.16,51.21,79.75,True,1441200600000,2,0.5699997,1.1148047,1788178289.0,51.7,-0.439999,0.5699997,1.1148047,51.7,1787947200,51.11,51.73,51.0 - 51.73,51.0,93547,51.55,200.0,700.0,us_market,finmb_306428279,NYSEArca,Columbia EM Core ex-China ETF,51.65,176574,136800,[],17.21,0.50766957,33.9 - 55.43,-4.3199997,-0.07793613,49.707092,0.0,20.945766,0.0,26.13459,5.06192,5.06192,1948931710.0,PRE,2.4401112,,,49.98298,1.1270218,0.022548111,44.971214,6.1387863,0.1365048,,15,0,America/New_York,EDT,-14400000,False,False,False,XCEM,,,,,,
