sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_bid,screen_ask,screen_net_expense_ratio,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate,screen_prev_name,screen_name_change_date,screen_display_name
Technology,technology,11,IYW,iShares U.S. Technology ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.11,29.446408,65.49919,35.18487,USD,2.89456,PCX,261.01,172.54,0.11,,iShares U.S. Technology ETF,252.44,253.93,0.38,True,958743000000,2,-0.3191354,1787874899.0,253.0,-0.80999756,7.14,7.14,2.89456,253.0,1787860800,253.81,253.95,250.045 - 253.95,250.045,409349,246.67,2200,100,us_market,finmb_8796469,NYSEArca,iShares U.S. Technology ETF,250.73,623211,465820,[],81.270004,0.47102126,172.54 - 261.01,-7.200012,-0.027585195,39.617146,,31.389114,,19.34322,9.19791,9.19791,23583946800.0,POSTPOST,8.085924,,,246.0414,7.7686005,0.031574365,216.41776,37.392242,0.17277807,,15,0,America/New_York,EDT,-14400000,False,False,False,IYW,,,,,,,,,,
Technology,technology,12,FTEC,Fidelity MSCI Information Technology Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.37,32.615786,53.27127,30.39627,USD,3.3338,PCX,300.79,198.17,0.37,,Fidelity MSCI Information Techn,290.17,290.7,0.084,True,1382621400000,2,-1.0891541,1787875042.0,287.88,-3.169983,9.38998,9.38998,3.3338,287.88,1787860800,291.05,291.09,286.1771 - 291.09,286.1771,256824,281.66,300,400,us_market,finmb_243638575,NYSEArca,Fidelity MSCI Information Technology Index ETF,287.18,328068,236050,[],92.87999,0.46868846,198.17 - 300.79,-9.740021,-0.032381464,40.35299,0.0,35.14743,0.0,20.46444,9.79055,9.79055,19851313200.0,POSTPOST,8.280832,,,279.3534,11.696594,0.041870244,245.8102,45.23979,0.1840436,,15,0,America/New_York,EDT,-14400000,False,False,False,FTEC,,,,,,,,,,
Technology,technology,13,SOXL,Direxion Daily Semiconductor Bull 3X Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.01,40.436717,226.3623,118.425,USD,5.53174,PCX,302.0,23.8,0.01,,Direxion Daily Semiconductor Bu,123.11,123.24,0.75,True,1268317800000,2,-2.4811869,1787875199.0,119.9969,-3.0531006,6.45,6.45,5.53174,119.9969,1787860800,123.05,124.88,117.6901 - 124.88,117.6901,54871327,116.6,200,1000,us_market,finmb_99490887,NYSEArca,Direxion Daily Semiconductor Bull 3X Shares,123.4,64213939,56262230,[],99.25,4.1701684,23.8 - 302.0,-178.95,-0.5925497,372.54224,,43.372887,,171.90112,-10.21021,-10.21021,19438153700.0,POSTPOST,2.837026,,,162.5504,-39.500397,-0.243004,106.74445,16.30555,0.15275313,,15,0,America/New_York,EDT,-14400000,False,False,False,SOXL,,,,,,,,,,
Technology,technology,14,CIBR,First Trust NASDAQ Cybersecurity ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.43,29.274005,39.19101,19.60962,USD,7.61264,NGM,102.35,60.07,0.43,,First Trust NASDAQ Cybersecurit,99.03,99.41,0.58,True,1436275800000,2,-0.059527293,1787874902.0,100.73,-0.05999756,7.13,7.13,7.61264,100.73,1787860801,100.79,100.97,96.655 - 100.97,96.655,1953044,93.66,1,1,us_market,finmb_303124248,NasdaqGM,First Trust NASDAQ Cybersecurity ETF,96.81,1616490,1661660,[],40.72,0.6778758,60.07 - 102.35,-1.5599976,-0.015241793,37.80421,0.0,32.776352,0.0,28.8139,36.09818,36.09818,14314468400.0,POSTPOST,3.075083,,,92.3752,8.414803,0.09109374,76.7608,24.029198,0.31303996,,15,0,America/New_York,EDT,-14400000,False,False,False,CIBR,1483056000.0,,,,,,,,,
Technology,technology,15,QQQI,NEOS NASDAQ-100(R) High Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.29,29.455081,,,USD,1.0705,NGM,57.84,47.87,1.29,,NEOS Nasdaq 100 High Income ETF,54.86,54.87,0.68,True,1706625000000,2,-0.1126715,1787875193.0,54.6983,-0.061698914,0.579998,0.579998,1.0705,54.6983,1787860800,54.76,54.77,54.38 - 54.77,54.38,3322232,54.18,29,30,us_market,finmb_1867487640,NasdaqGM,NEOS NASDAQ-100(R) High Income ETF,54.52,5898622,4590070,[],6.8899994,0.14393148,47.87 - 57.84,-3.0800018,-0.053250376,3.8498044,0.0,30.423738,0.0,6.89898,1.16637,1.16637,13398857700.0,POSTPOST,1.7999102,,,54.8354,-0.075401306,-0.001375048,54.0634,0.69659805,0.012884836,,15,0,America/New_York,EDT,-14400000,False,False,False,QQQI,,2024-01-30,,,,,,,,
Technology,technology,16,IGV,iShares Expanded Tech-Software Sector ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.02,32.164683,58.46986,12.22737,USD,7.7449,BTS,117.99,73.93,0.02,USD,iShares Expanded Tech-Software ,109.68,109.9,0.38,True,995376600000,2,-0.41579232,1787875149.0,109.8613,-0.4587021,7.93,7.93,7.7449,109.8613,1787860801,110.32,110.405,105.45 - 110.405,105.45,24454795,102.39,200,1400,us_market,finmb_8796877,Cboe US,iShares Expanded Tech-Software Sector ETF,105.69,15814657,10053270,[],36.39,0.49222237,73.93 - 117.99,-7.669998,-0.065005496,2.0536542,0.0,37.510532,0.0,-10.493,12.7644,12.7644,13295697900.0,POSTPOST,2.9410405,12500000.0,398.979,95.5996,14.720398,0.1539797,93.69405,16.625946,0.17744932,0.27650577,15,0,America/New_York,EDT,-14400000,False,False,False,IGV,,,,,,,,,,
Technology,technology,17,BAI,iShares A.I. Innovation and Tech Active ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,1.43,35.260931,,,USD,2.14689,PCX,54.46,30.365,1.43,,iShares A.I. Innovation and Tec,45.21,45.23,0.55,True,1729603800000,2,-1.9690251,1787874800.0,44.31,-0.8899994,0.950001,0.950001,2.14689,44.31,1787860800,45.2,45.34,44.59 - 45.34,44.59,2725657,44.25,500,600,us_market,finmb_1882269841,NYSEArca,iShares A.I. Innovation and Tech Active ETF,45.24,3764252,2347540,[],14.835001,0.48855594,30.365 - 54.46,-9.259998,-0.17003302,43.62885,0.0,38.489616,0.0,24.3434,-3.71398,-3.71398,12959177700.0,POSTPOST,1.1743428,,,45.8272,-0.6272011,-0.013686218,39.8205,5.3795013,0.13509376,,15,0,America/New_York,EDT,-14400000,False,False,False,BAI,,,,,,,,,,
Technology,technology,18,QLD,ProShares Ultra QQQ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.14,29.411765,117.0809,54.32451,USD,2.75497,PCX,101.19,56.6,0.14,,ProShares Ultra QQQ,90.75,91.1,0.95,True,1150896600000,2,-0.64378965,1787875194.0,90.7917,-0.588295,2.45,2.45,2.75497,90.7917,1787860800,91.38,91.447,89.77 - 91.447,89.77,3698211,88.93,1400,2300,us_market,finmb_27776730,NYSEArca,ProShares Ultra QQQ,90.39,4578660,3273540,[],34.78,0.61448765,56.6 - 101.19,-9.810005,-0.09694639,47.12607,,32.12199,,18.97692,3.24202,3.24202,12760278000.0,POSTPOST,2.8447802,,,89.9868,1.3931961,0.015482227,78.50705,12.872948,0.16397187,,15,0,America/New_York,EDT,-14400000,False,False,False,QLD,,,,,,,,,,
Technology,technology,19,AIQ,Global X Artificial Intelligence & Technology ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.08,25.634453,54.77889,17.03427,USD,2.33075,NGM,70.26,44.01,0.08,,Global X Artificial Intelligenc,63.13,63.33,0.68,True,1526477400000,2,-0.2169188,1787874462.0,64.4,-0.13999939,1.47,1.47,2.33075,64.4,1787860801,64.54,64.55,63.77 - 64.55,63.77,1239598,63.07,3,3,us_market,finmb_560127209,NasdaqGM,Global X Artificial Intelligence & Technology ETF,63.9,2358749,1342160,[],20.530003,0.46648496,44.01 - 70.26,-5.720001,-0.08141191,43.167698,0.0,28.093863,0.0,16.91967,7.07292,7.07292,10342161400.0,POSTPOST,2.297299,,,62.2414,2.2985992,0.03693039,55.5392,9.000801,0.16206214,,15,0,America/New_York,EDT,-14400000,False,False,False,AIQ,,,,,,,,,,
Technology,technology,20,EWT,iShares MSCI Taiwan ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-08-28T03:13:31+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.04,28.058361,29.14792,28.37748,USD,2.10546,PCX,112.78,57.56,1.04,,iShares MSCI Taiwan ETF,108.33,108.34,0.59,True,961767000000,2,-1.5005038,1787874719.0,107.0,-1.6299973,2.24,2.24,2.10546,107.0,1787860800,108.63,108.925,107.525 - 108.925,107.525,4419938,106.39,700,100,us_market,finmb_6456843,NYSEArca,iShares MSCI Taiwan ETF,107.95,5901106,3583840,[],51.069996,0.887248,57.56 - 112.78,-4.1500015,-0.03679732,84.68208,,31.88834,,50.40446,7.6022,7.6022,10294277100.0,POSTPOST,3.4065742,,,102.958,5.671997,0.055090398,82.84215,25.78785,0.311289,,15,0,America/New_York,EDT,-14400000,False,False,False,EWT,,,,,,,,,,
