sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_bid,screen_net_expense_ratio,screen_ask,screen_exchange,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_dividend_date,screen_ipo_expected_date,screen_display_name,screen_prev_name,screen_name_change_date
REIT,real-estate,11,DFGR,Dimensional Global Real Estate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.61,24.067389,,,USD,-0.203257,30.425,26.018,3.61,,Dimensional Global Real Estate ,0.0,0.22,0.0,PCX,True,1670423400000,2,0.0,1787356601.0,29.46,0.0,-0.0600014,1787342399,29.46,29.595,29.4 - 29.595,29.4,424956,29.52,500.0,400.0,us_market,finmb_1802681142,NYSEArca,Dimensional Global Real Estate ETF,29.59,436527,410550,[],3.4419994,0.132293,26.018 - 30.425,-0.96500015,-0.031717345,7.9912066,0.0,23.827494,0.0,13.69174,3.75149,3.75149,3862408450.0,PREPRE,1.2363868,,,29.4618,-0.0018005371,-6.11143e-05,28.07437,1.3856297,0.049355682,,15,0,America/New_York,EDT,-14400000,False,False,False,DFGR,,,,,
REIT,real-estate,12,VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.68,12.507817,6.40328,5.63681,USD,0.043774255,50.88,43.21,4.68,,Vanguard Global ex-U.S. Real Es,44.85,0.12,46.5,NGM,True,1288618200000,2,0.0,1787355004.0,45.71,0.0,0.020000458,1787342400,45.71,45.89,45.71 - 45.89,45.71,278459,45.69,1.0,2.0,us_market,finmb_115208731,NasdaqGM,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,45.82,290569,280030,[],2.5,0.057856977,43.21 - 50.88,-5.170002,-0.101611674,-3.5654008,,12.420864,,0.23955,-2.66441,-2.66441,3860325120.0,PREPRE,3.6800983,,,45.4736,0.2364006,0.005198634,46.64495,-0.9349518,-0.020044008,,15,0,America/New_York,EDT,-14400000,False,False,False,VNQI,1482796800.0,,,,
REIT,real-estate,13,DTCR,Global X Data Center & Digital Infrastructure ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.9,20.946795,,,USD,-0.56179726,32.79,18.13,0.9,,Global X Data Center & Digital ,28.27,0.5,28.63,NGM,True,1603978200000,2,0.070623085,1787355006.0,28.34,0.020000458,-0.15999985,1787342401,28.32,28.755,28.265 - 28.755,28.265,825591,28.48,2.0,2.0,us_market,finmb_687578005,NasdaqGM,Global X Data Center & Digital Infrastructure ETF,28.71,1352483,719670,[],10.190001,0.5620519,18.13 - 32.79,-4.470001,-0.13632208,49.841274,,21.618557,,31.38187,-3.58008,-3.58008,2296979710.0,PREPRE,1.3099856,,,29.0534,-0.73340034,-0.025243185,26.052324,2.2676754,0.087043114,,15,0,America/New_York,EDT,-14400000,False,False,False,DTCR,,,,,
REIT,real-estate,14,ICF,iShares Select U.S. REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,2.41,31.01737,10.38017,43.99418,USD,-0.145537,71.01,58.91,2.41,USD,iShares Select U.S. REIT ETF,0.0,0.32,0.0,BTS,True,981124200000,2,0.0,1787355004.0,68.61,0.0,-0.0999985,1787342400,68.61,68.9799,68.46 - 68.9799,68.46,57642,68.71,800.0,800.0,us_market,finmb_8795707,Cboe US,iShares Select U.S. REIT ETF,68.88,138012,81330,[],9.700001,0.16465797,58.91 - 71.01,-2.4000015,-0.033798076,12.016333,1.182,30.858582,0.017202737,16.54207,2.1751,2.1751,2103372930.0,PREPRE,2.2233686,19950000.0,70.334,68.692,-0.08200073,-0.001193745,64.74945,3.86055,0.0596229,0.9754884,15,0,America/New_York,EDT,-14400000,False,False,False,ICF,,,,,
REIT,real-estate,15,RWR,State Street SPDR Dow Jones REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.26,32.679739,13.72095,45.5013,USD,-0.0436822,119.65,96.66,3.26,USD,State Street SPDR Dow Jones REI,0.0,0.25,0.0,PCX,True,998919000000,2,0.0,1787355004.0,114.42,0.0,-0.0500031,1787342400,114.42,114.74,113.835 - 114.74,113.835,184588,114.47,100.0,600.0,us_market,finmb_8799273,NYSEArca,State Street SPDR Dow Jones REIT ETF,114.81,332269,300860,[],17.759995,0.18373674,96.66 - 119.65,-5.2300034,-0.04371085,15.950548,3.408,32.251297,0.029771993,19.73024,6.65714,6.65714,1964222590.0,PREPRE,3.547764,25981600.0,122.209,114.656,-0.23600006,-0.0020583316,106.64265,7.7773514,0.07292909,0.93626493,15,0,America/New_York,EDT,-14400000,False,False,False,RWR,,,,,
REIT,real-estate,16,DFAR,Dimensional US Real Estate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,2.63,30.525031,,,USD,-0.113167,27.595,22.645,2.63,,Dimensional US Real Estate ETF,0.0,0.19,0.0,PCX,True,1645713000000,2,0.0,1787355006.0,26.48,0.0,-0.0300007,1787342400,26.48,26.61,26.395 - 26.61,26.395,3642273,26.51,9600.0,10600.0,us_market,finmb_1760559695,NYSEArca,Dimensional US Real Estate ETF,26.6,2438098,2645630,[],3.834999,0.16935301,22.645 - 27.595,-1.1149998,-0.040405862,11.918855,0.0,30.19153,0.0,17.70792,4.29875,4.29875,1780369920.0,PREPRE,0.87706715,,,26.5661,-0.086099625,-0.0032409586,24.886555,1.5934448,0.064028345,,15,0,America/New_York,EDT,-14400000,False,False,False,DFAR,,,,,
REIT,real-estate,17,FALN,iShares Fallen Angels USD Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,6.0,2.3696682464454977,14.02131,5.76657,USD,0.0,27.79,26.373,6.51,,iShares Fallen Angels USD Bond ,26.91,0.25,27.0,NGM,True,1466515800000,2,0.0,1787355005.0,27.0,0.0,0.0,1787342401,27.0,27.02,26.965 - 27.02,26.965,464240,27.0,3.0,3.0,us_market,finmb_331463866,NasdaqGM,iShares Fallen Angels USD Bond ETF,27.02,950714,929220,[],0.6270008,0.023774346,26.373 - 27.79,-0.7900009,-0.028427524,-0.95377564,0.0,,0.0,1.85168,0.88759,0.88759,1614886400.0,PREPRE,,,,27.05938,-0.059379578,-0.0021944176,27.181246,-0.1812458,-0.006668046,,15,0,America/New_York,EDT,-14400000,False,False,False,FALN,1531094400.0,,,,
REIT,real-estate,18,FREL,Fidelity MSCI Real Estate Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,3.21,30.864198,11.72695,40.50122,USD,-0.133604,30.92,26.37,3.21,,Fidelity MSCI Real Estate Index,0.0,0.084,0.0,PCX,True,1423146600000,2,0.0,1787356553.0,29.9,0.0,-0.0400009,1787342400,29.9,30.03,29.805 - 30.03,29.805,1780928,29.94,5200.0,4800.0,us_market,finmb_279013116,NYSEArca,Fidelity MSCI Real Estate Index ETF,30.03,285845,456250,[],3.5299988,0.1338642,26.37 - 30.92,-1.0200005,-0.032988373,7.399428,0.0,30.711296,0.0,13.87005,3.82314,3.82314,1493428350.0,PREPRE,0.9735831,,,29.823,0.076999664,0.0025818886,28.453375,1.4466248,0.05084194,,15,0,America/New_York,EDT,-14400000,False,False,False,FREL,,,,,
REIT,real-estate,19,RWO,State Street SPDR Dow Jones Global Real Estate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.14,23.963575,11.25318,30.74942,USD,0.0792411,52.26,44.09,3.14,,State Street SPDR Dow Jones Glo,0.0,0.5,0.0,PCX,True,1211463000000,2,0.0,1787355005.0,50.52,0.0,0.0400009,1787342400,50.52,50.68,50.3894 - 50.68,50.3894,36394,50.48,300.0,500.0,us_market,finmb_44737021,NYSEArca,State Street SPDR Dow Jones Global Real Estate ETF,50.68,108166,47480,[],6.4300003,0.14583807,44.09 - 52.26,-1.7399979,-0.033295024,11.868906,,23.71446,,14.66958,4.42903,4.42903,1306898050.0,PREPRE,2.1303458,,,50.4652,0.05480194,0.0010859353,48.08645,2.4335518,0.05060785,,15,0,America/New_York,EDT,-14400000,False,False,False,RWO,,,,,
REIT,real-estate,20,BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_real-estate/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,2.59,30.96934,13.75454,42.85105,USD,-0.239126,113.4,91.82,2.59,,JPMorgan BetaBuilders MSCI U.S.,0.0,0.11,0.0,BTS,True,1529328600000,2,0.0,1787355006.0,108.47,0.0,-0.260002,1787342400,108.47,108.91,108.34 - 108.91,108.34,15167,108.73,500.0,500.0,us_market,finmb_556901228,Cboe US,JPMorgan BetaBuilders MSCI U.S. REIT ETF,108.91,39822,45190,[],16.650002,0.18133307,91.82 - 113.4,-4.9300003,-0.04347443,15.688992,,30.597527,,20.03459,5.95431,5.95431,1287265410.0,PREPRE,3.5450578,,,108.79656,-0.32656097,-0.0030015744,100.940025,7.529976,0.07459851,,15,0,America/New_York,EDT,-14400000,False,False,False,BBRE,,,,,
