sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_regular_market_change_percent,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_financial_currency,screen_short_name,screen_bid,screen_net_expense_ratio,screen_ask,screen_exchange,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_shares_outstanding,screen_book_value,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_price_to_book,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_symbol,screen_dividend_date,screen_earnings_timestamp_start,screen_earnings_timestamp_end,screen_eps_forward,screen_forward_pe,screen_ipo_expected_date,screen_display_name,screen_prev_name,screen_name_change_date,screen_earnings_call_timestamp_start,screen_earnings_call_timestamp_end,screen_is_earnings_date_estimate
Industrials,industrials,11,IDEF,iShares Defense Industrials Act,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.33,33.898305,,,USD,-0.6806734,36.88,28.54,0.33,,iShares Defense Industrials Act,34.19,0.55,34.64,NGM,True,1747834200000,2,0.0,1787355007.0,33.56,0.0,-0.22999954,1787342401,33.56,33.6808,33.38 - 33.6808,33.38,403655,33.79,1.0,2.0,us_market,finmb_1935637303,NasdaqGM,,33.64,855433,397540,[],5.0200005,0.1758935,28.54 - 36.88,-3.3199997,-0.090021685,16.225111,0.0,35.133636,0.0,5.40364,-2.6581,-2.6581,4263226880.0,PREPRE,0.95521003,,,32.78988,0.7701225,0.023486592,33.0507,0.50930023,0.015409665,,15,0,America/New_York,EDT,-14400000,False,False,False,IDEF,,,,,,,,,,,,
Industrials,industrials,12,GSY,Invesco Ultra Short Duration ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,5.29,32.89473684210526,5.98607,0.04504,USD,0.0198929,50.39,50.05,4.26,,Invesco Ultra Short Duration ET,0.0,0.22,0.0,PCX,True,1202826600000,2,0.0,1787356558.0,50.29,0.0,0.0100021,1787342400,50.29,50.29,50.27 - 50.29,50.27,412020,50.28,8300.0,3900.0,us_market,finmb_41075875,NYSEArca,Invesco Ultra Short Duration ETF,50.28,713551,574520,[],0.24000168,0.0047952384,50.05 - 50.39,-0.099998474,-0.0019844905,0.21921396,0.0,,0.0,2.17253,0.97178,0.97178,3894512900.0,PREPRE,,,,50.1772,0.1128006,0.0022480448,50.217,0.07300186,0.0014537281,,15,0,America/New_York,EDT,-14400000,False,False,False,GSY,,,,,,,,,,,,
Industrials,industrials,13,FIDU,Fidelity MSCI Industrials Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.95,29.832936,22.55211,21.13433,USD,0.262109,100.0,78.27,0.95,,Fidelity MSCI Industrials Index,0.0,0.084,0.0,PCX,True,1382621400000,2,0.30325308,1787355033.0,95.92,0.29000092,0.25,1787342400,95.63,96.124,95.35 - 96.124,95.35,69699,95.38,800.0,700.0,us_market,finmb_243638579,NYSEArca,Fidelity MSCI Industrials Index ETF,96.01,103366,69440,[],17.36,0.22179636,78.27 - 100.0,-4.3700027,-0.04370003,18.854094,0.0,29.974762,0.0,16.05137,1.17385,1.17385,2303296260.0,PREPRE,3.1903505,,,96.9928,-1.3628006,-0.014050534,90.8484,4.781601,0.05263275,,15,0,America/New_York,EDT,-14400000,False,False,False,FIDU,,,,,,,,,,,,
Industrials,industrials,14,IYT,iShares Transportation Average ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,0.92,20.768432,24.52928,26.34938,USD,0.880958,90.06,68.1,0.92,USD,iShares U.S. Transportation ETF,0.0,0.38,0.0,BTS,True,1073053800000,2,0.2527878,1787356752.0,87.25,0.22000122,0.760002,1787342400,87.03,87.16,86.695 - 87.16,86.695,264281,86.27,1000.0,100.0,us_market,finmb_8781443,Cboe US,iShares Transportation Average ETF,86.78,650977,336970,[],18.93,0.2779736,68.1 - 90.06,-3.0299988,-0.033644225,22.027481,1.884,21.283043,0.021838414,14.60439,4.71493,4.71493,2233544960.0,PREPRE,4.089171,2800000.0,269.724,86.8878,0.14219666,0.0016365548,79.90805,7.1219482,0.089126796,0.32266316,15,0,America/New_York,EDT,-14400000,False,False,False,IYT,,,,,,,,,,,,
Industrials,industrials,15,PHO,Invesco Water Resources ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.58,24.46184,18.91888,31.25654,USD,0.7536649,74.93,63.54,0.58,,Invesco Water Resources ETF,70.7,0.59,75.49,NGM,True,1133879400000,2,0.15237652,1787355004.0,72.3,0.11000061,0.5400009,1787342400,72.19,72.315,71.62 - 72.315,71.62,36449,71.65,1.0,1.0,us_market,finmb_25875309,NasdaqGM,Invesco Water Resources ETF,71.77,110017,70470,[],8.650002,0.13613474,63.54 - 74.93,-2.7399979,-0.036567435,-1.4067173,,25.166029,,0.01274,2.25387,2.25387,2002360580.0,PREPRE,2.8685496,,,69.6518,2.5382004,0.036441274,69.9604,2.229599,0.03186944,,15,0,America/New_York,EDT,-14400000,False,False,False,PHO,1514505600.0,,,0.09,802.1111,,,,,,,
Industrials,industrials,16,IYJ,iShares U.S. Industrials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.72,28.058361,19.87006,16.92784,USD,0.561043,171.25,138.9,0.72,USD,iShares U.S. Industrials ETF,0.0,0.38,0.0,BTS,True,963581400000,2,0.6852668,1787355498.0,166.03,1.1300049,0.919998,1787342400,164.9,165.13,164.6574 - 165.13,164.6574,27323,163.98,100.0,100.0,us_market,finmb_8796449,Cboe US,iShares U.S. Industrials ETF,164.73,76904,31290,[],26.0,0.18718503,138.9 - 171.25,-6.350006,-0.03708033,13.387882,0.925,28.220745,0.005640932,11.01157,3.47843,3.47843,1942820990.0,PREPRE,5.843219,5850000.0,111.259,164.5606,0.33940125,0.0020624697,155.797,9.102997,0.058428578,1.4821272,15,0,America/New_York,EDT,-14400000,False,False,False,IYJ,,,,,,,,,,,,
Industrials,industrials,17,FIW,First Trust Water ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.72,24.820055,20.39505,31.89349,USD,0.624719,116.3,98.52,0.72,,First Trust Water ETF,0.0,0.5,0.0,PCX,True,1178890200000,2,0.0,1787355004.0,111.14,0.0,0.690002,1787342400,111.14,111.3399,110.575 - 111.3399,110.575,22744,110.45,100.0,200.0,us_market,finmb_34335512,NYSEArca,First Trust Water ETF,110.97,47816,27910,[],12.620003,0.12809585,98.52 - 116.3,-5.1600037,-0.044368044,-2.3803234,,25.426313,,0.3219,1.50921,1.50921,1857092860.0,PREPRE,4.3710623,,,108.8886,2.2513962,0.020676142,108.8119,2.328102,0.021395657,,15,0,America/New_York,EDT,-14400000,False,False,False,FIW,,,,,,,,,,,,
Industrials,industrials,18,HYDB,iShares High Yield Systematic Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,14.78308,5.2711,USD,0.258515,47.99,45.964,7.01,,iShares High Yield Systematic B,0.0,0.35,0.0,BTS,True,1500039000000,2,-0.12011296,1787352701.0,46.4841,-0.055900574,0.120003,1787342393,46.54,46.55,46.46 - 46.55,46.46,209439,46.42,1000.0,200.0,us_market,finmb_428736116,Cboe US,iShares High Yield Systematic Bond ETF,46.52,164977,114430,[],0.5760002,0.012531551,45.964 - 47.99,-1.4500008,-0.030214643,-2.0210505,,,,1.24381,0.21654,0.21654,1596654340.0,PREPRE,,,,46.5175,0.022499084,0.00048366922,46.955475,-0.41547394,-0.008848254,,15,0,America/New_York,EDT,-14400000,False,False,False,HYDB,,,,,,,,,,,,
Industrials,industrials,19,PWRD,TCW Transform Systems ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.06,35.688794,,,USD,0.14798711,123.23,89.127,0.06,,TCW Transform Systems ETF,104.5,0.75,123.09,NGM,True,1643898600000,2,0.0,1787355006.0,108.28,0.0,0.16000366,1787342400,108.28,109.48,107.8618 - 109.48,107.8618,43506,108.119995,2.0,2.0,us_market,finmb_713673640,NasdaqGM,TCW Transform Systems ETF,109.48,85241,71380,[],19.153,0.2148956,89.127 - 123.23,-14.950005,-0.12131789,18.989014,0.0,35.87602,0.0,12.309,-4.2601,-4.2601,1454151300.0,PREPRE,3.018172,,,113.28156,-5.001564,-0.044151615,105.78087,2.4991302,0.023625541,,15,0,America/New_York,EDT,-14400000,False,False,False,PWRD,,,,,,2025-06-27,,,,,,
Industrials,industrials,20,EXI,iShares Global Industrials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-08-24T06:42:48+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.07,27.218291,21.67382,17.51284,USD,0.529734,207.79,165.7,1.07,,iShares Global Industrials ETF,0.0,0.38,0.0,PCX,True,1159363800000,2,0.0,1787355004.0,201.16,0.0,1.06,1787342400,201.16,201.885,201.09 - 201.885,201.09,50393,200.1,100.0,200.0,us_market,finmb_29103200,NYSEArca,iShares Global Industrials ETF,202.07,55180,26130,[],35.460007,0.21400125,165.7 - 207.79,-6.6299896,-0.031907164,19.184732,,27.638968,,14.05432,1.72691,1.72691,1426307460.0,PREPRE,7.27813,,,199.2276,1.9324036,0.009699477,189.3728,11.787201,0.06224337,,15,0,America/New_York,EDT,-14400000,False,False,False,EXI,,,,,,,,,,,,
