sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_fullday_change,screen_fullday_change_percent,screen_fullday_price,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_annual_dividend_rate,screen_trailing_pe,screen_trailing_annual_dividend_yield,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_currency,screen_net_expense_ratio,screen_bid,screen_ask,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_short_name,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_regular_market_change_percent,screen_symbol,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_financial_currency,screen_ipo_expected_date,screen_dividend_date,screen_prev_name,screen_name_change_date
Telecom,communication-services,11,IXP,iShares Global Comm Services ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,3.42,15.012761,38.71499,12.77133,True,1006785000000,2,,,,,1.25,1.25,1.07425,,1787947200,117.61,118.285,117.2548 - 118.285,117.2548,6577,116.36,300,100,us_market,finmb_8798149,NYSEArca,iShares Global Comm Services ETF,117.2548,35760,47310,[],6.720001,0.060600605,110.89 - 126.92,-9.309998,-0.073353276,-0.33895373,0.71,15.360636,0.006101753,-4.42318,-6.26238,-6.26238,557490300.0,PRE,7.6565843,116.0052,1.6047974,0.013833839,119.82185,-2.211853,-0.018459512,15,0,America/New_York,EDT,-14400000,USD,0.37,0.0,124.41,PCX,126.92,110.89,3.42,iShares Global Comm Services ET,False,False,False,1.07425,IXP,4250000.0,80.095,1.4683813,USD,,,,
Telecom,communication-services,12,STOT,State Street DoubleLine Short Duration Total Return Tactical ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,6.33135,-0.07467,True,1460640600000,2,,,,,-0.0499992,-0.0499992,-0.10662,,1787946796,46.845,46.92,46.84 - 46.92,46.84,28047,46.895,600,400,us_market,finmb_321789422,Cboe US,State Street DoubleLine Short Duration Total Return Tactical ETF,46.9,62549,55690,[],0.11500168,0.0024609817,46.73 - 47.55,-0.704998,-0.014826457,-0.93052983,0.0,,0.0,1.32577,0.47814,0.47814,506832800.0,PRE,,46.8805,-0.035499573,-0.00075723534,47.13,-0.28499985,-0.0060471003,15,0,America/New_York,EDT,-14400000,USD,0.45,44.62,49.06,BTS,47.55,46.73,4.43,State Street DoubleLine Short D,False,False,False,-0.10662,STOT,,,,,,,,
Telecom,communication-services,13,KMLM,KraneShares Mount Lucas Managed Futures Index Strategy ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,4.48,7.616146230007616,,,True,1606919400000,2,0.35000038,1.180838,1788177197.0,29.99,0.24,-0.7819996,-2.6372573,29.99,1787947200,29.64,29.6755,29.29 - 29.6755,29.29,353676,29.4,700,200,us_market,finmb_690990532,NYSEArca,KraneShares Mount Lucas Managed Futures Index Strategy ETF,29.48,302212,233970,[],3.869999,0.15017457,25.77 - 30.17,-0.5300007,-0.017567143,10.02227,0.0,11.068569,0.0,12.5,-0.88106,-0.88106,419761088.0,PRE,2.6778529,28.6626,0.9773998,0.034100182,27.81038,1.8296185,0.065789044,15,0,America/New_York,EDT,-14400000,USD,0.9,0.0,0.0,PCX,30.17,25.77,4.46,KraneShares Mount Lucas Managed,False,False,False,0.816326,KMLM,,,,,,,,
Telecom,communication-services,14,METU,Direxion Daily META Bull 2X ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,4.01,20.964361,,,True,1717680600000,2,0.17000008,0.8432543,1788178988.0,20.33,0.45000076,0.17000008,0.8432543,20.33,1787947201,20.16,20.93,19.7 - 20.93,19.7,7317787,19.71,1,1,us_market,finmb_1791146318,NasdaqGM,Direxion Daily META Bull 2X ETF,19.74,6018220,6953850,[],3.3099995,0.19643913,16.85 - 49.75,-29.59,-0.5947739,-53.526974,,22.174267,,-39.82867,-23.14917,-23.14917,362522528.0,PRE,0.909162,21.8532,-1.6932011,-0.07748069,26.76215,-6.60215,-0.24669729,15,0,America/New_York,EDT,-14400000,USD,1.02,20.92,21.24,NGM,49.75,16.85,4.01,Direxion Daily META Bull 2X ETF,False,False,False,2.283109,METU,,,,,2024-06-05,,,
Telecom,communication-services,15,HYFI,AB High Yield ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,,,True,1684157400000,2,,,,,-0.0637016,-0.0637016,-0.171125,,1787945233,37.1615,37.2215,37.14 - 37.2215,37.14,21853,37.2252,600,400,us_market,finmb_1829444271,NYSEArca,AB High Yield ETF,37.21,48228,28390,[],0.52549744,0.014343744,36.636 - 38.27,-1.1085014,-0.028965283,-0.9541571,0.0,,0.0,1.93481,0.52109,0.52109,328117344.0,PRE,,37.17888,-0.01737976,-0.00046746328,37.41826,-0.25675964,-0.0068618814,15,0,America/New_York,EDT,-14400000,USD,0.4,0.0,0.0,PCX,38.27,36.636,6.67,AB High Yield ETF,False,False,False,-0.171125,HYFI,,,,,,,,
Telecom,communication-services,16,XCCC,BondBloxx CCC Rated USD High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,10.52,4.139072847682119,,,True,1653571800000,2,,,,,-0.0699997,-0.0699997,-0.195475,,1787947200,35.74,35.8623,35.72 - 35.8623,35.72,92847,35.81,400,600,us_market,finmb_1773506415,NYSEArca,BondBloxx CCC Rated USD High Yield Corporate Bond ETF,35.81,303292,622980,[],0.12000275,0.0033689712,35.62 - 39.35,-3.6099968,-0.09174071,-7.6247096,0.0,3.7626789,0.0,-0.69328,-0.59615,-0.59615,263671152.0,PRE,9.498552,36.09712,-0.3571167,-0.009893219,37.033226,-1.2932243,-0.03492065,15,0,America/New_York,EDT,-14400000,USD,0.4,32.69,0.0,PCX,39.35,35.62,10.14,BondBloxx CCC-Rated USD High Yi,False,False,False,-0.195475,XCCC,,,,,,,,
Telecom,communication-services,17,SDSI,American Century Short Duration Strategic Income ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,,,,,True,1665667800000,2,,,,,-0.07500076,-0.07500076,-0.14634295,,1787947200,51.175,51.225,51.16 - 51.225,51.16,7480,51.25,2,2,us_market,finmb_1789354063,NasdaqGM,American Century Short Duration Strategic Income ETF,51.225,33746,44520,[],0.21500015,0.0042189984,50.96 - 52.04,-0.8650017,-0.016621862,-0.46678782,0.0,,0.0,1.58611,0.651,0.651,255739376.0,PRE,,51.20882,-0.033821106,-0.0006604547,51.423126,-0.24812698,-0.0048252023,15,0,America/New_York,EDT,-14400000,USD,0.32,36.95,65.71,NGM,52.04,50.96,4.73,American Century Short Duration,False,False,False,-0.14634295,SDSI,,,,,2022-10-13,,,
Telecom,communication-services,18,ESPO,VanEck Video Gaming and eSports ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,1.36,20.341741,33.3703,-1.92201,True,1539783000000,2,-3.4202957,-3.4993818,1788163203.0,94.3197,1.25,1.25,1.2954711,94.3197,1787947201,97.74,97.875,97.085 - 97.875,97.085,24090,96.49,2,2,us_market,finmb_571155624,NasdaqGM,VanEck Video Gaming and eSports ETF,97.48,17020,11280,[],12.809998,0.15083006,84.93 - 122.99,-25.25,-0.20530125,-14.0898285,0.0,21.021376,0.0,-8.90002,2.90502,2.90502,245902000.0,PRE,4.649553,93.5992,4.1408005,0.0442397,96.1545,1.585495,0.016489035,15,0,America/New_York,EDT,-14400000,USD,0.55,93.85,94.63,NGM,122.99,84.93,1.36,VanEck Video Gaming and eSports,False,False,False,1.2954711,ESPO,,,,,,,,
Telecom,communication-services,19,GXPC,Global X Purecap MSCI Communication Services ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,0.32,17.358098,,,True,1753277400000,2,0.049999237,0.16694236,1788177813.0,30.0,0.460001,0.049999237,0.16694236,30.0,1787947194,29.95,30.144,29.76 - 30.144,29.76,42083,29.49,500,1200,us_market,finmb_1942486172,NYSEArca,Global X Purecap MSCI Communication Services ETF,29.54,184168,52880,[],4.0200005,0.1550328,25.93 - 33.52,-3.5699997,-0.10650357,13.705397,0.0,17.521908,0.0,0.06194,-8.72459,-8.72459,194945760.0,PRE,1.7092887,29.89232,0.05768013,0.0019295969,30.050964,-0.10096359,-0.0033597455,15,0,America/New_York,EDT,-14400000,USD,0.15,0.0,33.33,PCX,33.52,25.93,0.32,Global X PureCap MSCI Communica,False,False,False,1.55985,GXPC,,,,,,,,
Telecom,communication-services,20,HYXF,iShares ESG Advanced High Yield Corporate Bond ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-08-31T12:23:26+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,,,12.47404,2.90876,True,1466170200000,2,,,,,-0.030002594,-0.0075035095,-0.01609677,,1787947200,46.585,46.69,46.55 - 46.69,46.55,16640,46.615,2,2,us_market,finmb_331463865,NasdaqGM,iShares ESG Advanced High Yield Corporate Bond ETF,46.65,20161,9360,[],0.8849983,0.019365389,45.7 - 47.62,-1.0349998,-0.021734562,-1.1899233,0.0,,0.0,1.2163,0.55866,0.55866,194403280.0,PRE,,46.48894,0.09605789,0.0020662525,46.793064,-0.20806503,-0.004446493,15,0,America/New_York,EDT,-14400000,USD,0.35,33.38,59.5,NGM,47.62,45.7,6.08,iShares ESG Advanced High Yield,False,False,False,-0.064362526,HYXF,,,,,,,,
