sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_quote_source_name,screen_triggerable,screen_custom_price_alert_confidence,screen_currency,screen_regular_market_change_percent,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_net_expense_ratio,screen_exchange,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_short_name,screen_ask,screen_bid,screen_pre_market_change,screen_pre_market_change_percent,screen_pre_market_time,screen_pre_market_price,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_price_hint,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_symbol,screen_dividend_date,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_prev_name,screen_name_change_date,screen_display_name,screen_financial_currency,screen_ipo_expected_date,screen_forward_pe,screen_eps_forward
Utilities Infrastructure,utilities_infrastructure,1,PAVE,Global X U.S. Infrastructure Development ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,-0.845367,56.9354,-0.63539886,-0.0111599965,52.276524,4.0234756,0.07696525,15,0,America/New_York,EDT,-14400000,False,False,False,0.47,BTS,60.43,44.28,0.73,Global X U.S. Infrastructure De,0.0,0.0,0.0,0.0,1784534529.0,56.3,-0.48,1784318400,56.3,57.03,55.85 - 57.03,55.85,1186113,56.78,800.0,600.0,us_market,finmb_415556335,Cboe US,Global X U.S. Infrastructure Development ETF,56.37,1892201,2506060,[],12.02,0.2714544,44.28 - 60.43,-4.130001,-0.06834356,24.72309,30.432274,23.47318,16.08569,16.08569,14567146500.0,PRE,1.8500096,2,True,1488983400000,PAVE,,,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,2,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,0.10130729,189.979,-12.128998,-0.06384388,169.74934,8.100662,0.047721315,15,0,America/New_York,EDT,-14400000,False,False,False,0.56,NGM,199.99,139.18,0.75,First Trust NASDAQ Clean Edge S,191.77,163.28,0.009994507,0.005619627,1784534463.0,177.86,0.17999268,1784318401,177.85,179.0999,174.38 - 179.0999,174.38,486058,177.67001,1.0,1.0,us_market,finmb_79682012,NasdaqGM,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,175.57,758630,541090,[],38.670013,0.27784175,139.18 - 199.99,-22.14,-0.11070553,24.483799,30.198353,25.4212,17.56267,17.56267,12076603400.0,PRE,5.8893943,2,True,1258468200000,GRID,1483056000.0,,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,3,IGF,iShares Global Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,0.10468026,66.8132,0.12680054,0.0018978366,64.8898,2.0502014,0.031595126,15,0,America/New_York,EDT,-14400000,False,False,False,0.39,NGM,69.6,58.59,2.9,iShares Global Infrastructure E,67.03,66.8,,,,,0.069999695,1784318401,66.94,67.5,66.82 - 67.5,66.82,676813,66.87,5.0,5.0,us_market,finmb_39460755,NasdaqGM,iShares Global Infrastructure ETF,67.19,777883,549840,[],8.350002,0.14251582,58.59 - 69.6,-2.659996,-0.038218334,13.246489,21.91697,9.7302,0.92324,0.92324,10779330600.0,PRE,3.0542545,2,True,1197469800000,IGF,1529884800.0,,,,,,,,,
Utilities Infrastructure,utilities_infrastructure,4,IFRA,iShares U.S. Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,-0.711396,61.649,-0.23899841,-0.0038767606,57.332615,4.077385,0.07111807,15,0,America/New_York,EDT,-14400000,False,False,False,0.3,BTS,64.25,49.49,1.54,iShares U.S. Infrastructure ETF,65.05,58.03,,,,,-0.439999,1784318400,61.41,62.11,61.29 - 62.11,61.29,237444,61.85,900.0,2500.0,us_market,finmb_546589016,Cboe US,iShares U.S. Infrastructure ETF,61.51,378553,326200,[],11.919998,0.24085669,49.49 - 64.25,-2.8400002,-0.044202335,21.411621,24.755869,20.72329,10.57469,10.57469,4618109400.0,PRE,2.480624,2,True,1522935000000,IFRA,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,5,NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,0.122364,65.3284,0.13159943,0.002014429,63.8202,1.6397972,0.025694015,15,0,America/New_York,EDT,-14400000,False,False,False,0.47,PCX,67.36,59.6,5.78,FlexShares STOXX Global Broad I,69.26,61.79,,,,,0.0800018,1784318390,65.46,65.88,65.38 - 65.88,65.38,22378,65.38,500.0,700.0,us_market,finmb_243871626,NYSEArca,FlexShares STOXX Global Broad Infrastructure Index Fund,65.71,66414,28960,[],5.8600006,0.09832216,59.6 - 67.36,-1.9000015,-0.028206673,6.9957495,17.7229,7.32055,2.00106,2.00106,2940218110.0,PRE,3.6935265,2,True,1381325400000,NFRA,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,6,BKGI,Bny Mellon Global Infrastructure Income ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Nasdaq Real Time Price,False,LOW,USD,0.572188,45.3661,0.33390045,0.007360131,42.93449,2.7655106,0.06441233,15,0,America/New_York,EDT,-14400000,False,False,False,0.55,BTS,46.84,37.5,2.7,BNY Mellon Global Infrastructur,47.87,43.64,,,,,0.260002,1784318399,45.7,45.9287,45.5201 - 45.9287,45.5201,217517,45.44,100.0,400.0,us_market,finmb_1794058959,Cboe US,Bny Mellon Global Infrastructure Income ETF,45.6,246316,257940,[],8.200001,0.21866669,37.5 - 46.84,-1.1399994,-0.02433816,18.485868,19.38636,11.96107,2.28571,2.28571,1140321540.0,PRE,2.3573275,2,True,1667568600000,BKGI,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,7,GII,State Street SPDR S&P Global Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,0.2103,75.7442,0.4957962,0.0065456657,73.73115,2.50885,0.034027003,15,0,America/New_York,EDT,-14400000,False,False,False,0.4,PCX,78.95,66.71,2.67,State Street SPDR S&P Global In,80.56,71.87,,,,,0.159996,1784318394,76.24,76.8,76.1001 - 76.8,76.1001,9316,76.08,400.0,400.0,us_market,finmb_32430849,NYSEArca,State Street SPDR S&P Global Infrastructure ETF,76.62,62804,66510,[],9.529999,0.14285712,66.71 - 78.95,-2.709999,-0.034325514,13.418627,21.917984,9.64213,1.35124,1.35124,962020030.0,PRE,3.478422,2,True,1170253800000,GII,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,8,POWR,iShares U.S. Power Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,0.0,27.3906,-0.83060074,-0.030324299,25.9724,0.5875988,0.02262397,15,0,America/New_York,EDT,-14400000,False,False,False,,PCX,28.44,23.18,,iShares U.S. Power Infrastructu,27.3,26.3,0.0,0.0,1784535174.0,26.56,0.0,1784318400,26.56,26.79,26.35 - 26.79,26.35,207852,26.56,1000.0,1200.0,us_market,finmb_160288000,NYSEArca,iShares U.S. Power Infrastructure ETF,26.5,263680,273480,[],3.3799992,0.14581531,23.18 - 28.44,-1.8800011,-0.066104114,10.758961,20.131405,,,,,PRE,1.3193316,2,True,1328193000000,POWR,,0.0,0.0,"iShares, Inc. - iShares MSCI Global Energy Producers ETF",2026-07-19,iShares,,,,
Utilities Infrastructure,utilities_infrastructure,9,TCAI,Tortoise AI Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,-0.557346,51.76236,-5.37236,-0.103788935,38.60693,7.7830696,0.20159774,15,0,America/New_York,EDT,-14400000,False,False,False,0.65,NYQ,58.63,24.45,,Tortoise AI Infrastructure ETF,0.0,0.0,0.0,0.0,1784535642.0,46.39,-0.260002,1784318400,46.39,47.27,44.2801 - 47.27,44.2801,484950,46.65,100.0,100.0,us_market,finmb_1951086335,NYSE,Tortoise AI Infrastructure ETF,45.2,136698,126440,[],21.939999,0.89734143,24.45 - 58.63,-12.240002,-0.20876686,83.91944,33.915695,88.98149,61.41502,61.41502,277592736.0,PRE,1.3678033,2,True,1754400600000,TCAI,,0.0,0.0,,,AIMTC,USD,,,
Utilities Infrastructure,utilities_infrastructure,10,TOLZ,ProShares DJ Brookfield Global Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,0.130928,60.344,0.15119934,0.0025056233,57.7053,2.7899017,0.04834741,15,0,America/New_York,EDT,-14400000,False,False,False,0.46,PCX,62.22,52.39,3.0,ProShares DJ Brookfield Global ,64.05,57.15,,,,,0.0791016,1784318176,60.4952,61.0026,60.36 - 61.0026,60.36,4062,60.4161,100.0,100.0,us_market,finmb_257194174,NYSEArca,ProShares DJ Brookfield Global Infrastructure ETF,61.0026,16919,5870,[],8.105202,0.15470895,52.39 - 62.22,-1.7248001,-0.027720992,13.957429,20.121744,11.10282,-0.24677,-0.24677,190820736.0,PRE,3.006459,2,True,1395927000000,TOLZ,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,11,BLDX,Impax Global Sustainable Infrastructure ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,ETF,ETF,Delayed Quote,False,LOW,USD,-0.285821,26.2818,-0.08169937,-0.0031085913,26.363333,-0.1632328,-0.00619166,15,0,America/New_York,EDT,-14400000,False,False,False,0.6,PCX,32.25,25.06,2.14,Impax Global Sustainable Infras,40.88,0.0,,,,,-0.0750999,1784312858,26.2001,26.21,26.2001 - 26.21,26.2001,1405,26.2752,300.0,100.0,us_market,finmb_1965637346,NYSEArca,Impax Global Sustainable Infrastructure ETF,26.21,11891,1770,[],1.1401005,0.045494832,25.06 - 32.25,-6.0499,-0.1875938,3.3938408,,10.17474,2.8089,2.8089,118496208.0,PRE,,2,True,1770129000000,BLDX,,0.0,0.0,,,,,,,
Utilities Infrastructure,utilities_infrastructure,12,CSIO,Cohen & Steers Infrastructure Opportunities Active ETF,Yahoo Finance custom ETF screener,2026-07-20T08:47:27+00:00,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,-0.537731,28.66958,0.111120224,0.0038758928,27.621323,1.159378,0.041974023,15,0,America/New_York,EDT,-14400000,False,False,False,,PCX,30.57,24.81,,Cohen & Steers Infrastructure O,44.91,0.0,,,,,-0.1556,1784313044,28.7807,28.79,28.77 - 28.79,28.77,1571,28.9363,100.0,1000.0,us_market,finmb_1957323630,NYSEArca,Cohen & Steers Infrastructure Opportunities Active ETF,28.83,13054,4810,[],3.9707012,0.16004439,24.81 - 30.57,-1.789299,-0.05853121,14.528454,18.668446,,,,,PRE,1.5416764,2,True,1765463400000,CSIO,,0.0,0.0,,,,,,,
