sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc,screen_language,screen_region,screen_quote_type,screen_type_disp,screen_triggerable,screen_custom_price_alert_confidence,screen_yield_ttm,screen_pe_ttm,screen_annual_return_nav_y3,screen_annual_return_nav_y5,screen_currency,screen_fifty_two_week_high,screen_fifty_two_week_low,screen_dividend_yield,screen_fifty_day_average,screen_fifty_day_average_change,screen_fifty_day_average_change_percent,screen_two_hundred_day_average,screen_two_hundred_day_average_change,screen_two_hundred_day_average_change_percent,screen_source_interval,screen_exchange_data_delayed_by,screen_exchange_timezone_name,screen_exchange_timezone_short_name,screen_gmt_off_set_milliseconds,screen_esg_populated,screen_tradeable,screen_crypto_tradeable,screen_regular_market_change_percent,screen_net_expense_ratio,screen_fullday_change,screen_fullday_change_percent,screen_ask,screen_bid,screen_has_pre_post_market_data,screen_first_trade_date_milliseconds,screen_price_hint,screen_post_market_change_percent,screen_post_market_time,screen_post_market_price,screen_post_market_change,screen_regular_market_change,screen_regular_market_time,screen_regular_market_price,screen_regular_market_day_high,screen_regular_market_day_range,screen_regular_market_day_low,screen_regular_market_volume,screen_regular_market_previous_close,screen_bid_size,screen_ask_size,screen_market,screen_message_board_id,screen_full_exchange_name,screen_long_name,screen_regular_market_open,screen_average_daily_volume3_month,screen_average_daily_volume10_day,screen_corporate_actions,screen_fifty_two_week_low_change,screen_fifty_two_week_low_change_percent,screen_fifty_two_week_range,screen_fifty_two_week_high_change,screen_fifty_two_week_high_change_percent,screen_fifty_two_week_change_percent,screen_trailing_pe,screen_ytd_return,screen_trailing_three_month_returns,screen_trailing_three_month_nav_returns,screen_net_assets,screen_market_state,screen_eps_trailing_twelve_months,screen_exchange,screen_short_name,screen_fullday_price,screen_symbol,screen_quote_source_name,screen_trailing_annual_dividend_rate,screen_trailing_annual_dividend_yield,screen_financial_currency,screen_shares_outstanding,screen_book_value,screen_price_to_book,screen_dividend_date,screen_ipo_expected_date,screen_forward_pe,screen_eps_forward,screen_prev_name,screen_name_change_date
Healthcare,healthcare,11,IHI,iShares U.S. Medical Devices ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,0.44,31.01737,3.21261,21.02914,USD,64.71,47.37,0.44,53.0652,0.56480026,0.010643515,55.57135,-1.941349,-0.03493435,15,0,America/New_York,EDT,-14400000,False,False,False,-0.519382,0.37,-0.279999,-0.519382,54.17,53.25,True,1146835800000,2,0.54073673,1788566063.0,53.92,0.2899971,-0.279999,1788552000,53.63,53.87,53.3 - 53.87,53.3,1510362,53.91,5900,600,us_market,finmb_27446899,NYSEArca,iShares U.S. Medical Devices ETF,53.315,2817396,2178240,[],6.260002,0.1321512,47.37 - 64.71,-11.079998,-0.17122544,-14.233166,30.261263,-11.36434,12.40996,12.40996,3473586690.0,CLOSED,1.7722328,PCX,iShares U.S. Medical Devices ET,53.92,IHI,,0.0,0.0,,,,,,,,,,
Healthcare,healthcare,12,FBT,First Trust NYSE Arca Biotechnology Index Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,0.0,29.069767,2.25875,-3.63539,USD,274.99,173.98,0.0,256.2148,14.715179,0.057432976,221.68594,49.24405,0.22213429,15,0,America/New_York,EDT,-14400000,False,False,False,-1.0446,0.55,-2.86002,-1.0446,273.7,266.12,True,1151069400000,2,0.9375147,1788566271.0,273.47,2.5400085,-2.86002,1788552000,270.93,271.485,270.4 - 271.485,270.4,21158,273.79,100,100,us_market,finmb_27775897,NYSEArca,First Trust NYSE Arca Biotechnology Index Fund,271.47,71587,52340,[],96.95,0.55724794,173.98 - 274.99,-4.0599976,-0.014764165,53.08509,29.481083,29.80573,19.92731,19.92731,2913227260.0,CLOSED,9.1899605,PCX,First Trust Amex Biotech Index ,273.47,FBT,,0.02,7.3048686e-05,USD,20850000.0,172.678,1.5689898,,,,,,
Healthcare,healthcare,13,ARKG,ARK Genomic Revolution ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,,,16.20128,-33.8913,USD,50.535,24.6,0.0,42.9988,4.141201,0.09630969,33.405827,13.734173,0.41113105,15,0,America/New_York,EDT,-14400000,False,False,False,-0.127122,0.75,-0.0600014,-0.127122,47.05,46.8,True,1414762200000,2,-0.23334877,1788566383.0,47.03,-0.11000061,-0.0600014,1788552000,47.14,47.29,46.6302 - 47.29,46.6302,1445733,47.2,1200,300,us_market,finmb_268203657,Cboe US,ARK Genomic Revolution ETF,47.04,3631441,4164950,[],22.539999,0.9162601,24.6 - 50.535,-3.3950005,-0.06718117,85.00784,,63.31467,36.51069,36.51069,2020345090.0,CLOSED,,BTS,ARK Genomic Revolution ETF,47.03,ARKG,Delayed Quote,0.0,0.0,,,,,,,,,,
Healthcare,healthcare,14,IHE,iShares U.S. Pharmaceuticals ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.42,26.990553,0.99222,12.82711,USD,108.66,69.02,1.42,102.5954,2.0846024,0.020318674,91.4341,13.245903,0.14486831,15,0,America/New_York,EDT,-14400000,False,False,False,-0.701952,0.37,-0.739998,-0.701952,105.1,103.61,True,1146835800000,2,0.0,1788564602.0,104.68,0.0,-0.739998,1788552000,104.68,104.81,104.32 - 104.81,104.32,77965,105.42,100,1000,us_market,finmb_27447321,NYSEArca,iShares U.S. Pharmaceuticals ETF,104.5,263377,209630,[],35.660004,0.51666194,69.02 - 108.66,-3.9800034,-0.036628045,46.42607,27.261396,22.95542,13.23699,13.23699,1662381950.0,CLOSED,3.839862,PCX,iShares U.S. Pharmaceutical ETF,104.68,IHE,,,,,,,,,,,,,
Healthcare,healthcare,15,FLHY,Franklin High Yield Corporate ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,,,13.96642,4.43494,USD,24.63,23.82,6.47,24.1642,-0.11420059,-0.0047260243,24.30043,-0.25043106,-0.010305623,15,0,America/New_York,EDT,-14400000,False,False,False,-0.124588,0.4,-0.0300007,-0.124588,24.31,24.03,True,1528983000000,2,0.0,1788564602.0,24.05,0.0,-0.0300007,1788551992,24.05,24.09,24.04 - 24.09,24.04,221727,24.08,800,900,us_market,finmb_556182242,Cboe US,Franklin High Yield Corporate ETF,24.07,227082,202050,[],0.22999954,0.009655733,23.82 - 24.63,-0.5799999,-0.023548516,-1.5554667,,2.87172,0.99593,0.99593,1264701950.0,CLOSED,,BTS,Franklin High Yield Corporate E,24.05,FLHY,Delayed Quote,0.0,0.0,,,,,1530835200.0,,,,,
Healthcare,healthcare,16,IHF,iShares U.S. Healthcare Providers ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,0.92,21.326509,-1.056,24.37107,USD,58.3,40.85,0.92,56.8364,0.5835991,0.010268052,49.9165,7.503498,0.15032099,15,0,America/New_York,EDT,-14400000,False,False,False,-1.0,0.37,-0.580002,-1.0,58.19,57.06,True,1146835800000,2,0.0,1788564603.0,57.42,0.0,-0.580002,1788552000,57.42,57.77,57.245 - 57.77,57.245,586710,58.0,200,400,us_market,finmb_27445728,NYSEArca,iShares U.S. Healthcare Providers ETF,57.47,527060,603890,[],16.57,0.40563035,40.85 - 58.3,-0.88000107,-0.0150943585,20.528973,21.601427,18.70589,12.91648,12.91648,1227321600.0,CLOSED,2.6581576,PCX,iShares U.S. Health Care Provid,57.42,IHF,,,,,,,,,,,,,
Healthcare,healthcare,17,FXH,First Trust Health Care AlphaDEX Fund,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,0.77,20.746888,-4.50196,15.17683,USD,135.82,104.53,0.77,128.396,5.0599976,0.03940931,117.6193,15.836693,0.13464366,15,0,America/New_York,EDT,-14400000,False,False,False,-0.7467,0.61,-1.00401,-0.7467,134.66,131.51,True,1178803800000,2,0.0,1788564603.0,133.456,0.0,-1.00401,1788551856,133.456,133.72,132.92 - 133.72,132.92,52923,134.46,100,100,us_market,finmb_34336579,NYSEArca,First Trust Health Care AlphaDEX Fund,133.24,55663,55220,[],28.925995,0.27672434,104.53 - 135.82,-2.3640137,-0.01740549,21.714544,20.83525,17.10999,15.61666,15.61666,1149107710.0,CLOSED,6.405298,PCX,First Trust Health Care AlphaDE,133.456,FXH,,,,,,,,,,,,,
Healthcare,healthcare,18,FTXH,First Trust Nasdaq Pharmaceuticals ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.03,27.839644,-1.41102,6.10797,USD,42.87,27.3,1.03,39.78676,1.987442,0.049952347,35.48698,6.28722,0.17716977,15,0,America/New_York,EDT,-14400000,False,False,False,-1.0324535,0.6,-0.48989868,-1.1606224,39.45,39.31,True,1474551000000,2,0.1335786,1788566034.0,41.83,0.05580139,-0.43579865,1788552000,41.7742,41.97,41.6773 - 41.97,41.6773,21249,42.21,12,14,us_market,finmb_374263734,NasdaqGM,First Trust Nasdaq Pharmaceuticals ETF,41.97,603823,102220,[],14.474201,0.5301905,27.3 - 42.87,-1.0957985,-0.025560964,48.203075,28.12354,25.85056,18.07136,18.07136,1054381310.0,CLOSED,1.485382,NGM,First Trust Nasdaq Pharmaceutic,41.83,FTXH,Delayed Quote,0.0,0.0,,,,,1490918400.0,,,,,
Healthcare,healthcare,19,PPH,VanEck Pharmaceutical ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,1.92,24.740228,6.91462,17.80788,USD,118.0,85.91,1.92,111.5992,2.6108017,0.023394449,106.026,8.183998,0.077188596,15,0,America/New_York,EDT,-14400000,False,False,False,-1.3474973,0.36,-1.5599976,-1.3474973,110.12,109.61,True,949415400000,2,0.0,1788564604.0,114.21,0.0,-1.5599976,1788552000,114.21,114.705,113.93 - 114.705,113.93,92507,115.77,1,1,us_market,finmb_3588556,NasdaqGM,VanEck Pharmaceutical ETF,114.65,277990,253450,[],28.299995,0.32941443,85.91 - 118.0,-3.790001,-0.032118652,28.325844,24.868698,11.15393,8.51749,8.51749,1033076350.0,CLOSED,4.59252,NGM,VanEck Pharmaceutical ETF,114.21,PPH,Delayed Quote,,,,11547000.0,,,1475798400.0,,,,,
Healthcare,healthcare,20,PBPH,Portfolio Building Block World Pharma And Biotech Index ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-09-07T11:17:52+00:00,en-US,US,ETF,ETF,False,LOW,,,,,USD,29.9,24.184,,27.91278,1.0950184,0.03923,26.198683,2.8091164,0.10722357,15,0,America/New_York,EDT,-14400000,False,False,False,-1.1322461,0.13,-0.34000015,-1.158828,32.89,21.91,True,1764599400000,2,0.0,1788564603.0,29.0078,0.0,-0.332201,1788552000,29.0078,29.15,28.94 - 29.15,28.94,83783,29.34,2,2,us_market,finmb_1959766823,NasdaqGM,Portfolio Building Block World Pharma And Biotech Index ETF,29.15,139968,87070,[],4.823799,0.19946241,24.184 - 29.9,-0.89220047,-0.02983948,17.033804,27.52967,13.48297,11.3762,11.3762,1024493310.0,CLOSED,1.0536922,NGM,Portfolio Building Block World ,29.0078,PBPH,Delayed Quote,0.0,0.0,,,,,,2025-11-25,,,,
